Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,25.5,0.0,0.0,34.50,,2,108,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,1,25.69,0.0,0.0,62.72,,2,90,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,1,26.09,0.0,0.0,54.89,,1,79,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,1,26.81,0.0,0.0,73.01,,1,71,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,1,27.07,0.0,0.0,47.96,,1,83,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,1,27.99,0.0,0.0,70.42,169.66,1,77,21,CNN 16k,non-IID,CIFAR-10,1.28,0.5420,0.3437,1.9508,2.86,0.3152,0.247,2.5216
Client 23,2,23.28,0.23,0.0,44.74,,2,95,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,2,24.11,0.14,0.0,49.38,,2,89,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,2,24.75,0.16,0.0,70.01,,1,60,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,2,25.95,0.1,0.0,36.7,,1,88,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,2,25.93,0.15,0.0,29.1,,1,94,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,2,25.55,0.13,0.0,48.53,128.99,1,70,21,CNN 16k,non-IID,CIFAR-10,1.2,0.5686,0.3899,1.8536,2.60,0.3507,0.2799,2.4219
Client 23,3,24.80,0.0,0.0,72.72,,2,70,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,3,24.70,0.0,0.0,30.72,,2,113,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,3,24.42,0.0,0.0,50.16,,1,74,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,3,25.78,0.0,0.0,35.23,,1,87,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,3,25.95,0.0,0.0,28.48,,1,98,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,3,25.12,0.0,0.0,75.84,115.31,1,55,21,CNN 16k,non-IID,CIFAR-10,1.13,0.5971,0.4236,1.7628,2.47,0.372,0.3169,2.306
Client 23,4,23.66,0.23,0.0,36.30,,2,98,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,4,24.3,0.14,0.0,34.04,,2,111,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,4,24.96,0.16,0.0,29.61,,1,90,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,4,26.51,0.1,0.0,64.99,,1,61,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,4,26.52,0.15,0.0,34.7,,1,82,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,4,26.52,0.13,0.0,57.10,126.54,1,67,21,CNN 16k,non-IID,CIFAR-10,1.05,0.6133,0.4550,1.6886,2.39,0.3873,0.3391,2.2830
Client 23,5,22.97,0.23,0.0,41.87,,2,98,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
