Client ID,FL Round,Training Time,JSD,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,24.58,0.1,25.24,,2,114,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,1,23.51,0.16,24.37,,2,114,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,1,25.52,0.28,24.34,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,1,25.48,0.25,24.79,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,1,25.63,0.22,23.95,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,1,25.78,0.08,24.52,139.84,1,100,21,CNN 16k,non-IID,CIFAR-10,1.24,0.5588,0.3352,1.5196,2.95,0.3062,0.2386,2.4173
Client 23,2,9.59,0.05,8.98,,2,167,37,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,2,23.75,0.16,26.18,,2,123,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,2,27.51,0.28,25.65,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,2,26.13,0.25,26.37,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,2,25.05,0.22,25.72,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,2,25.21,0.08,26.04,88.99,1,100,21,CNN 16k,non-IID,CIFAR-10,1.11,0.5982,0.392,1.3685,2.62,0.342,0.2784,2.3063
Client 23,3,8.17,0.05,7.42,,2,180,37,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,3,24.52,0.16,23.96,,2,123,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,3,24.58,0.28,23.58,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,3,26.52,0.25,26.39,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,3,26.83,0.22,24.4,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,3,25.74,0.08,24.8,100.28,1,100,21,CNN 16k,non-IID,CIFAR-10,1.05,0.6192,0.4346,1.3055,2.51,0.3682,0.3136,2.2176
Client 23,4,55.67,0.05,30.87,,2,62,44,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,4,64.97,0.16,23.95,,2,82,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,4,14.64,0.05,18.54,,1,54,43,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,4,20.83,0.05,19.21,,1,51,43,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,4,49.4,0.22,46.34,,1,53,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,4,49.49,0.08,23.28,364.62,1,51,21,CNN 16k,non-IID,CIFAR-10,1.23,0.5279,0.43,1.6991,2.42,0.3994,0.3476,2.1897
Client 23,5,19.1,0.05,7.61,,2,130,44,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,5,22.35,0.16,23.58,,2,118,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,5,20.22,0.05,18.77,,1,50,43,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,5,19.93,0.05,17.77,,1,50,43,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,5,24.4,0.22,31.62,,1,81,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,5,24.17,0.08,50.78,157.24,1,66,21,CNN 16k,non-IID,CIFAR-10,1.2,0.5399,0.4533,1.6377,2.42,0.4115,0.3638,2.1273
Client 23,6,8.14,0.05,7.65,,2,179,44,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,6,104.84,0.16,44.33,,2,80,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,6,9.92,0.05,9.22,,1,100,43,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,6,9.79,0.05,8.83,,1,99,43,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,6,47.78,0.22,49.61,,1,55,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,6,83.52,0.08,37.55,191.08,1,39,21,CNN 16k,non-IID,CIFAR-10,1.18,0.5482,0.4666,1.6133,2.41,0.4157,0.3733,2.0996
Client 23,7,82.44,0.05,35.6,,2,64,44,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,7,75.59,0.16,25.71,,2,74,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,7,20.77,0.05,19.28,,1,50,43,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,7,20.25,0.05,18.68,,1,50,43,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,7,50.49,0.22,46.58,,1,53,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,7,70.26,0.08,26.05,186.01,1,46,21,CNN 16k,non-IID,CIFAR-10,1.13,0.5653,0.4877,1.5145,2.35,0.4351,0.3905,2.0423
Client 23,8,55.15,0.05,42.63,,2,59,44,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,8,7.39,0.05,7.66,,2,82,38,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,8,22.46,0.05,20.42,,1,50,44,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,8,20.98,0.05,19.43,,1,50,43,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,8,19.41,0.05,18.16,,1,53,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,8,66.49,0.08,21.34,440.5,1,44,21,CNN 16k,non-IID,CIFAR-10,1.27,0.4955,0.4695,1.8766,2.39,0.4431,0.4017,1.9894
