Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,25.4,0.0,0.0,24.15,,2,117,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,1,24.89,0.0,0.0,25.02,,2,117,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,1,25.92,0.0,0.0,25.33,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,1,25.22,0.0,0.0,23.52,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,1,27.06,0.0,0.0,25.87,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,1,28.28,0.0,0.0,23.4,114.57,1,100,21,CNN 64k,non-IID,CIFAR10,1.22,0.5632,0.3954,1.4959,2.77,0.3646,0.289,2.3548
Client 1,2,25.18,0.0,0.0,24.49,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,2,24.74,0.0,0.0,23.49,,2,128,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,2,27.37,0.0,0.0,24.78,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,2,27.25,0.0,0.0,24.67,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,2,26.43,0.0,0.0,24.67,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,2,27.2,0.0,0.0,25.44,67.87,1,100,21,CNN 64k,non-IID,CIFAR10,1.08,0.6116,0.4672,1.2717,2.58,0.4047,0.3436,2.129
Client 1,3,25.47,0.0,0.0,25.0,,2,128,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,3,25.85,0.0,0.0,25.81,,2,126,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,3,27.79,0.0,0.0,24.13,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,3,26.85,0.0,0.0,24.27,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,3,27.53,0.0,0.0,24.86,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,3,26.95,0.0,0.0,24.48,69.76,1,100,21,CNN 64k,non-IID,CIFAR10,0.96,0.658,0.5373,1.1302,2.59,0.4573,0.4051,1.9921
Client 1,4,25.97,0.0,0.0,24.57,,2,128,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,4,25.09,0.0,0.0,24.15,,2,128,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,4,26.05,0.0,0.0,23.98,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,4,25.47,0.0,0.0,23.72,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,4,26.99,0.0,0.0,24.37,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,4,25.48,0.0,0.0,23.67,66.63,1,100,21,CNN 64k,non-IID,CIFAR10,0.87,0.6913,0.5778,0.9965,2.68,0.4755,0.4242,1.8959
Client 1,5,24.96,0.0,0.0,25.91,,2,128,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,5,27.76,0.0,0.0,25.97,,2,128,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,5,26.38,0.0,0.0,24.31,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,5,25.21,0.0,0.0,23.54,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,5,26.73,0.0,0.0,26.02,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,5,26.01,0.0,0.0,24.66,68.55,1,100,21,CNN 64k,non-IID,CIFAR10,0.8,0.7203,0.6197,0.9072,2.72,0.5008,0.4544,1.827
Client 1,6,26.0,0.0,0.0,26.85,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,6,25.16,0.0,0.0,24.47,,2,128,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,6,26.02,0.0,0.0,24.57,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,6,26.63,0.0,0.0,24.77,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,6,27.92,0.0,0.0,25.94,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,6,26.94,0.0,0.0,26.88,68.79,1,100,21,CNN 64k,non-IID,CIFAR10,0.74,0.7406,0.645,0.8272,2.79,0.5049,0.4608,1.7683
Client 1,7,24.89,0.0,0.0,24.02,,2,128,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,7,25.71,0.0,0.0,25.57,,2,128,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,7,27.13,0.0,0.0,24.73,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
