Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,23.64,0.0,0.0,47.44,,2,94,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,1,24.48,0.0,0.0,56.86,,2,88,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,1,24.33,0.0,0.0,56.91,,1,75,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,1,25.53,0.0,0.0,29.99,,1,97,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,1,25.81,0.0,0.0,60.63,,1,79,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,1,24.95,0.0,0.0,32.47,147.84,1,92,21,CNN 16k,non-IID,CIFAR-10,1.29,0.5437,0.313,1.573,2.84,0.294,0.2190,2.5174
Client 23,2,24.67,0.0,0.0,51.90,,2,88,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,2,24.9,0.0,0.0,47.59,,2,91,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,2,26.5,0.0,0.0,57.84,,1,67,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,2,26.16,0.0,0.0,34.32,,1,84,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,2,24.85,0.0,0.0,58.21,,1,66,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,2,26.56,0.0,0.0,56.76,102.30,1,70,21,CNN 16k,non-IID,CIFAR-10,1.16,0.581,0.382,1.4712,2.47,0.3523,0.2806,2.3858
Client 23,3,23.48,0.0,0.0,67.08,,2,76,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,3,23.7,0.0,0.0,65.36,,2,76,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,3,23.48,0.0,0.0,40.10,,1,82,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,3,25.27,0.0,0.0,74.01,,1,61,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,3,27.14,0.0,0.0,43.4,,1,79,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,3,24.37,0.0,0.0,49.65,117.40,1,68,21,CNN 16k,non-IID,CIFAR-10,1.14,0.5954,0.4217,1.3715,2.33,0.3531,0.3056,2.2925
Client 23,4,24.57,0.0,0.0,60.10,,2,79,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,4,25.22,0.0,0.0,73.11,,2,74,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,4,25.92,0.0,0.0,45.29,,1,75,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,4,26.3,0.0,0.0,43.73,,1,77,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,4,27.08,0.0,0.0,46.8,,1,78,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,4,25.34,0.0,0.0,59.56,113.52,1,66,21,CNN 16k,non-IID,CIFAR-10,1.09,0.6224,0.4566,1.3086,2.30,0.3894,0.3321,2.2653
Client 23,5,23.36,0.0,0.0,26.84,,2,121,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,5,24.44,0.0,0.0,58.84,,2,80,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,5,25.92,0.0,0.0,41.35,,1,81,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,5,23.55,0.0,0.0,21.89,,1,96,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,5,27.57,0.0,0.0,28.36,,1,97,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,5,23.40,0.0,0.0,43.70,100.78,1,75,21,CNN 16k,non-IID,CIFAR-10,1.02,0.627,0.4816,1.2782,2.20,0.4054,0.3470,2.15
Client 23,6,23.51,0.0,0.0,39.1,,2,99,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,6,24.25,0.0,0.0,56.11,,2,81,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,6,25.28,0.0,0.0,45.53,,1,74,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,6,25.86,0.0,0.0,48.21,,1,75,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,6,25.95,0.0,0.0,32.96,,1,93,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,6,26.53,0.0,0.0,24.49,95.81,1,100,21,CNN 16k,non-IID,CIFAR-10,1.0,0.6446,0.4905,1.2555,2.26,0.3988,0.3574,2.1859
Client 23,7,23.13,0.0,0.0,46.26,,2,89,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,7,23.68,0.0,0.0,44.2,,2,97,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,7,25.08,0.0,0.0,49.73,,1,72,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,7,24.80,0.0,0.0,45.8,,1,73,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,7,25.51,0.0,0.0,65.30,,1,62,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,7,25.25,0.0,0.0,56.56,107.03,1,69,21,CNN 16k,non-IID,CIFAR-10,0.99,0.6503,0.5004,1.2076,2.22,0.4080,0.3632,2.1593
Client 23,8,23.54,0.0,0.0,72.0,,2,69,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,8,24.65,0.0,0.0,57.38,,2,83,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,8,25.66,0.0,0.0,35.5,,1,84,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,8,25.76,0.0,0.0,72.58,,1,58,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,8,25.6,0.0,0.0,30.61,,1,89,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,8,25.59,0.0,0.0,68.59,116.40,1,62,21,CNN 16k,non-IID,CIFAR-10,0.98,0.6535,0.5327,1.1967,2.19,0.4286,0.3911,2.1450
Client 23,9,24.59,0.0,0.0,28.05,,2,117,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,9,25.27,0.0,0.0,42.27,,2,98,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
