Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,5.42,0.22,0.0,2.14,,2,131,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,1,5.63,0.22,0.0,2.22,,2,131,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,1,6.04,0.22,0.0,2.28,,1,100,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,1,5.8,0.22,0.0,2.34,,1,100,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,1,6.88,0.22,0.0,2.86,,1,100,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,1,5.6,0.22,0.0,2.25,27.5,1,100,19,TextMLP,non-IID,AGNEWS,0.39,0.8608,0.782,0.2009,3.05,0.5702,0.4916,0.7228
Client 1,2,7.41,0.14,30.08,2.18,,2,184,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,2,8.18,0.14,27.65,2.83,,2,184,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,2,6.32,0.14,46.1,2.13,,1,100,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,2,6.15,0.14,45.13,2.07,,1,100,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,2,6.06,0.14,45.7,2.07,,1,100,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,2,6.1,0.14,44.78,2.03,55.39,1,100,27,TextMLP,non-IID,AGNEWS,0.46,0.7842,0.7769,0.2623,3.71,0.6345,0.5467,0.6025
