Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,25.75,27.7,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,1,25.87,26.76,57.42,2,137,41,CNN 16k,non-IID,CIFAR-10,2542.85,0.4427,0.1313,2.3245,786.84,0.1658,0.0862,3.704
Client 1,2,24.93,27.24,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,2,24.96,28.0,52.97,2,137,41,CNN 16k,non-IID,CIFAR-10,2124.89,0.5122,0.246,1.9564,740.91,0.2658,0.1934,2.9815
Client 1,3,24.89,28.25,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,3,25.3,27.34,53.16,2,137,41,CNN 16k,non-IID,CIFAR-10,1949.29,0.5481,0.3024,1.8002,707.01,0.2977,0.2468,2.8481
Client 1,4,26.26,27.17,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,4,24.97,29.48,54.46,2,136,41,CNN 16k,non-IID,CIFAR-10,1891.57,0.5659,0.3303,1.6879,678.73,0.3387,0.2826,2.6216
Client 1,5,32.05,35.09,,2,132,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,5,29.89,33.18,67.16,2,133,41,CNN 16k,non-IID,CIFAR-10,1781.59,0.5918,0.3736,1.6435,667.33,0.3575,0.3126,2.6952
Client 1,6,30.46,34.73,,2,132,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,6,32.13,34.37,66.51,2,132,41,CNN 16k,non-IID,CIFAR-10,1733.05,0.6062,0.3963,1.5291,667.83,0.3762,0.3322,2.4622
Client 1,7,30.7,32.21,,2,133,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,7,30.43,32.84,63.34,2,133,41,CNN 16k,non-IID,CIFAR-10,1698.59,0.6097,0.4037,1.5247,665.94,0.3734,0.3402,2.5871
Client 1,8,33.05,33.82,,2,131,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,8,31.61,33.76,66.89,2,132,41,CNN 16k,non-IID,CIFAR-10,1621.26,0.6317,0.4232,1.4391,646.52,0.3911,0.3521,2.4503
Client 1,9,29.48,31.31,,2,134,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,9,28.51,30.62,60.86,2,134,41,CNN 16k,non-IID,CIFAR-10,1597.45,0.6366,0.4403,1.4096,633.16,0.4103,0.3706,2.3306
Client 1,10,25.41,27.23,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,10,24.91,28.93,53.86,2,136,41,CNN 16k,non-IID,CIFAR-10,1541.33,0.6532,0.4692,1.3132,633.84,0.4234,0.3925,2.2426
Client 1,11,27.34,28.64,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,11,25.54,31.72,57.28,2,136,41,CNN 16k,non-IID,CIFAR-10,1504.47,0.6585,0.4742,1.2842,615.7,0.4403,0.4018,2.1513
