Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,26.78,0.0,0.0,27.61,,2,123,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,1,26.95,0.0,0.0,34.58,,2,115,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 3,1,30.51,0.0,0.0,45.02,,1,80,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 4,1,29.91,0.0,0.0,32.94,,1,94,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 5,1,30.36,0.0,0.0,37.52,,1,88,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 6,1,30.89,0.0,0.0,30.07,95.09,1,96,21,CNN 64k,IID,CIFAR10,1.46,0.468,0.4562,1.9665,1.47,0.4648,0.4532,1.9846
Client 1,2,26.53,0.0,0.0,34.4,,2,113,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,2,26.73,0.0,0.0,39.92,,2,106,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 3,2,29.18,0.0,0.0,46.46,,1,81,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 4,2,29.29,0.0,0.0,31.78,,1,94,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 5,2,29.37,0.0,0.0,32.86,,1,92,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 6,2,29.62,0.0,0.0,39.04,92.39,1,85,21,CNN 64k,IID,CIFAR10,1.3,0.5324,0.5232,1.7006,1.33,0.5203,0.5096,1.7394
Client 1,3,27.38,0.0,0.0,28.26,,2,123,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,3,25.9,0.0,0.0,31.45,,2,121,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 3,3,30.09,0.0,0.0,37.6,,1,88,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 4,3,29.92,0.0,0.0,46.24,,1,80,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 5,3,30.21,0.0,0.0,47.57,,1,79,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 6,3,29.07,0.0,0.0,32.16,94.29,1,92,21,CNN 64k,IID,CIFAR10,1.19,0.5761,0.5733,1.5218,1.24,0.5573,0.5532,1.598
Client 1,4,27.82,0.0,0.0,35.61,,2,112,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,4,26.26,0.0,0.0,44.74,,2,100,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 3,4,29.97,0.0,0.0,34.89,,1,91,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 4,4,28.82,0.0,0.0,28.01,,1,99,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 5,4,29.44,0.0,0.0,45.16,,1,80,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 6,4,28.19,0.0,0.0,38.2,90.22,1,85,21,CNN 64k,IID,CIFAR10,1.09,0.6144,0.611,1.3675,1.16,0.5885,0.5841,1.4712
Client 1,5,26.96,0.0,0.0,38.78,,2,108,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,5,28.13,0.0,0.0,40.41,,2,107,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 3,5,30.78,0.0,0.0,27.24,,1,100,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 4,5,29.77,0.0,0.0,37.37,,1,89,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 5,5,31.16,0.0,0.0,45.78,,1,82,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 6,5,30.14,0.0,0.0,37.99,93.75,1,87,21,CNN 64k,IID,CIFAR10,1.02,0.6401,0.6368,1.2722,1.12,0.6029,0.5987,1.4171
Client 1,6,30.35,0.0,0.0,46.7,,2,100,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,6,28.13,0.0,0.0,46.17,,2,101,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 3,6,28.48,0.0,0.0,44.97,,1,80,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 4,6,29.99,0.0,0.0,34.75,,1,91,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 5,6,31.01,0.0,0.0,46.76,,1,81,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 6,6,26.19,0.0,0.0,29.05,94.31,1,94,21,CNN 64k,IID,CIFAR10,0.95,0.6655,0.6642,1.1714,1.09,0.6179,0.6158,1.36
Client 1,7,27.27,0.0,0.0,38.81,,2,109,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,7,28.1,0.0,0.0,39.72,,2,107,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 3,7,29.69,0.0,0.0,31.91,,1,95,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 4,7,29.9,0.0,0.0,33.13,,1,92,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 5,7,29.52,0.0,0.0,44.69,,1,81,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 6,7,29.74,0.0,0.0,40.0,92.31,1,85,21,CNN 64k,IID,CIFAR10,0.92,0.6776,0.6764,1.1337,1.08,0.6204,0.6181,1.3503
Client 1,8,26.45,0.0,0.0,38.56,,2,108,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,8,27.46,0.0,0.0,30.05,,2,120,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 3,8,31.25,0.0,0.0,35.55,,1,91,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 4,8,30.0,0.0,0.0,39.75,,1,85,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 5,8,28.99,0.0,0.0,40.25,,1,84,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 6,8,29.16,0.0,0.0,41.11,86.74,1,83,21,CNN 64k,IID,CIFAR10,0.86,0.7002,0.6991,1.0295,1.06,0.6318,0.6299,1.2978
Client 1,9,27.77,0.0,0.0,42.7,,2,104,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,9,28.82,0.0,0.0,46.63,,2,102,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 3,9,30.63,0.0,0.0,41.76,,1,85,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 4,9,29.76,0.0,0.0,47.98,,1,80,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 5,9,30.28,0.0,0.0,47.61,,1,79,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 6,9,29.74,0.0,0.0,32.23,94.6,1,95,21,CNN 64k,IID,CIFAR10,0.82,0.7127,0.7099,0.9951,1.05,0.6353,0.6316,1.2938
Client 1,10,25.94,0.0,0.0,41.72,,2,105,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,10,27.16,0.0,0.0,34.13,,2,115,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 3,10,32.0,0.0,0.0,48.35,,1,80,21,CNN 64k,IID,CIFAR10,,,,,,,,
