Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,6.12,0.0,0.0,2.71,,2,134,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 2,1,6.01,0.0,0.0,2.28,28.56,2,130,19,TextMLP,IID,AGNEWS,0.63,0.7634,0.7613,0.3762,0.64,0.7534,0.7513,0.3893
Client 1,2,5.98,0.0,0.0,2.45,,2,188,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 2,2,6.12,0.0,0.0,2.29,10.17,2,189,19,TextMLP,IID,AGNEWS,0.52,0.8135,0.8129,0.2932,0.53,0.8013,0.8007,0.3133
Client 1,3,6.26,0.0,0.0,2.33,,2,185,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 2,3,5.97,0.0,0.0,2.35,10.65,2,186,19,TextMLP,IID,AGNEWS,0.5,0.8206,0.8206,0.2815,0.51,0.8134,0.8135,0.2915
Client 1,4,6.02,0.0,0.0,2.25,,2,188,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 2,4,5.96,0.0,0.0,2.2,9.95,2,188,19,TextMLP,IID,AGNEWS,0.47,0.8281,0.8276,0.2754,0.49,0.8186,0.818,0.2888
Client 1,5,6.23,0.0,0.0,2.33,,2,188,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 2,5,6.1,0.0,0.0,2.28,10.33,2,189,19,TextMLP,IID,AGNEWS,0.46,0.8316,0.8302,0.2625,0.48,0.822,0.8206,0.2763
Client 1,6,6.03,0.0,0.0,2.43,,2,188,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 2,6,6.43,0.0,0.0,2.68,10.8,2,189,19,TextMLP,IID,AGNEWS,0.44,0.8386,0.838,0.2548,0.46,0.8282,0.8276,0.2706
Client 1,7,6.26,0.0,0.0,2.4,,2,188,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 2,7,6.61,0.0,0.0,2.22,10.43,2,190,19,TextMLP,IID,AGNEWS,0.44,0.8392,0.8389,0.2569,0.46,0.8298,0.8294,0.2706
Client 1,8,6.26,0.0,0.0,2.19,,2,186,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 2,8,5.8,0.0,0.0,2.28,10.49,2,189,19,TextMLP,IID,AGNEWS,0.45,0.8321,0.8319,0.2712,0.48,0.8222,0.822,0.2846
Client 1,9,6.07,0.0,0.0,2.28,,2,190,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 2,9,6.11,0.0,0.0,2.28,10.08,2,188,19,TextMLP,IID,AGNEWS,0.44,0.8382,0.838,0.256,0.46,0.829,0.8286,0.2688
Client 1,10,6.47,0.0,0.0,2.36,,2,187,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 2,10,7.1,0.0,0.0,2.71,11.97,2,187,19,TextMLP,IID,AGNEWS,0.43,0.8429,0.8427,0.2504,0.45,0.8343,0.834,0.2623
Client 1,11,6.21,0.0,0.0,2.62,,2,188,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 2,11,5.8,0.0,0.0,2.13,10.64,2,186,19,TextMLP,IID,AGNEWS,0.44,0.8399,0.8392,0.2566,0.46,0.831,0.8302,0.2702
Client 1,12,6.76,0.0,0.0,2.46,,2,187,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 2,12,6.1,0.0,0.0,2.23,11.21,2,188,19,TextMLP,IID,AGNEWS,0.43,0.8419,0.8411,0.2467,0.45,0.8326,0.8318,0.2612
Client 1,13,6.72,0.0,0.0,2.27,,2,184,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 2,13,6.47,0.0,0.0,2.44,11.12,2,188,19,TextMLP,IID,AGNEWS,0.43,0.8417,0.841,0.246,0.45,0.8322,0.8316,0.2587
Client 1,14,6.38,0.0,0.0,2.35,,2,189,19,TextMLP,IID,AGNEWS,,,,,,,,
