Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,26.84,0.0,0.0,27.33,,2,125,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,1,29.72,0.0,0.0,47.01,,2,100,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 3,1,30.52,0.0,0.0,31.7,,1,95,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 4,1,30.53,0.0,0.0,28.68,,1,97,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 5,1,31.13,0.0,0.0,38.46,,1,88,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 6,1,30.36,0.0,0.0,45.02,96.15,1,81,21,CNN 64k,IID,CIFAR10,1.45,0.4721,0.4627,1.9345,1.46,0.4691,0.4589,1.9581
Client 1,2,26.94,0.0,0.0,45.89,,2,101,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,2,27.96,0.0,0.0,38.03,,2,111,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 3,2,29.74,0.0,0.0,30.06,,1,97,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 4,2,29.59,0.0,0.0,37.35,,1,89,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 5,2,30.41,0.0,0.0,30.56,,1,97,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 6,2,30.37,0.0,0.0,37.39,90.04,1,89,21,CNN 64k,IID,CIFAR10,1.33,0.5186,0.5112,1.7569,1.36,0.5098,0.5018,1.7998
Client 1,3,27.93,0.0,0.0,41.68,,2,105,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,3,27.14,0.0,0.0,45.41,,2,102,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 3,3,28.61,0.0,0.0,35.36,,1,89,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 4,3,31.62,0.0,0.0,45.79,,1,81,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 5,3,29.84,0.0,0.0,35.29,,1,93,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 6,3,29.95,0.0,0.0,39.87,94.85,1,86,21,CNN 64k,IID,CIFAR10,1.19,0.5745,0.571,1.5194,1.24,0.5556,0.5518,1.5864
Client 1,4,26.86,0.0,0.0,39.08,,2,109,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,4,28.76,0.0,0.0,44.2,,2,103,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 3,4,30.42,0.0,0.0,45.1,,1,82,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 4,4,31.79,0.0,0.0,34.51,,1,90,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 5,4,30.91,0.0,0.0,39.11,,1,88,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 6,4,31.49,0.0,0.0,33.94,91.89,1,93,21,CNN 64k,IID,CIFAR10,1.1,0.6089,0.6029,1.4142,1.18,0.5822,0.5752,1.5184
Client 1,5,27.27,0.0,0.0,43.25,,2,103,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,5,27.99,0.0,0.0,39.44,,2,108,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 3,5,30.81,0.0,0.0,28.26,,1,97,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 4,5,32.23,0.0,0.0,32.99,,1,94,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 5,5,29.53,0.0,0.0,46.37,,1,81,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 6,5,30.08,0.0,0.0,46.38,93.42,1,80,21,CNN 64k,IID,CIFAR10,1.03,0.6369,0.6346,1.2672,1.13,0.5991,0.5964,1.4166
Client 1,6,26.43,0.0,0.0,30.39,,2,119,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,6,26.96,0.0,0.0,37.94,,2,109,21,CNN 64k,IID,CIFAR10,,,,,,,,
