Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,5.74,0.0,0.0,2.3,,2,130,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,1,5.55,0.0,0.0,2.2,27.56,2,131,19,TextMLP,IID,AGNEWS,0.62,0.7739,0.7728,0.3521,0.63,0.7659,0.7648,0.3634
Client 23,2,5.85,0.0,0.0,2.29,,2,187,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,2,5.69,0.0,0.0,2.22,,2,188,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,2,6.13,0.0,0.0,2.32,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,2,5.86,0.0,0.0,2.31,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,2,5.92,0.0,0.0,2.46,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 28,2,6.41,0.0,0.0,2.97,11.43,1,100,19,TextMLP,IID,AGNEWS,0.53,0.8077,0.8073,0.3007,0.55,0.7993,0.7989,0.3141
Client 23,3,5.81,0.0,0.0,2.17,,2,184,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,3,5.53,0.0,0.0,2.13,10.0,2,189,19,TextMLP,IID,AGNEWS,0.5,0.8204,0.8201,0.2816,0.51,0.8118,0.8115,0.2945
Client 23,4,5.93,0.0,0.0,2.26,,2,188,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,4,5.94,0.0,0.0,2.15,9.95,2,186,19,TextMLP,IID,AGNEWS,0.48,0.8265,0.8259,0.2769,0.49,0.8209,0.8201,0.2861
Client 23,5,5.76,0.0,0.0,2.66,,2,187,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,5,5.75,0.0,0.0,2.17,10.37,2,188,19,TextMLP,IID,AGNEWS,0.47,0.8292,0.8276,0.2723,0.49,0.8224,0.8206,0.2826
Client 23,6,5.93,0.0,0.0,2.28,,2,187,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,6,5.77,0.0,0.0,2.15,9.98,2,187,19,TextMLP,IID,AGNEWS,0.45,0.8363,0.836,0.2628,0.47,0.8311,0.8308,0.2703
Client 23,7,5.82,0.0,0.0,2.19,,2,188,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,7,5.85,0.0,0.0,2.13,9.68,2,188,19,TextMLP,IID,AGNEWS,0.46,0.8306,0.8299,0.2792,0.48,0.8239,0.8231,0.2857
Client 23,8,5.6,0.0,0.0,2.2,,2,187,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,8,5.5,0.0,0.0,2.13,9.53,2,188,19,TextMLP,IID,AGNEWS,0.45,0.8374,0.8377,0.2597,0.47,0.8288,0.8291,0.2716
Client 23,9,5.82,0.0,0.0,2.19,,2,188,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,9,5.66,0.0,0.0,2.37,9.77,2,187,19,TextMLP,IID,AGNEWS,0.46,0.8313,0.8312,0.2772,0.48,0.821,0.8208,0.2916
Client 23,10,5.88,0.0,0.0,2.23,,2,188,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,10,6.59,0.0,0.0,2.2,10.73,2,186,19,TextMLP,IID,AGNEWS,0.45,0.8371,0.8372,0.2545,0.46,0.8298,0.8299,0.2641
Client 23,11,5.76,0.0,0.0,2.19,,2,187,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,11,5.63,0.0,0.0,2.14,9.73,2,187,19,TextMLP,IID,AGNEWS,0.45,0.8339,0.834,0.2639,0.47,0.826,0.8261,0.2757
Client 23,12,5.66,0.0,0.0,2.25,,2,186,19,TextMLP,IID,AGNEWS,,,,,,,,
