Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,139.47,0.0,0.0,48.74,,2,169,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 2,1,137.09,0.0,0.0,48.26,,2,170,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 3,1,157.07,0.0,0.0,49.83,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 4,1,159.42,0.0,0.0,49.58,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 5,1,155.0,0.0,0.0,50.73,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 6,1,174.58,0.0,0.0,49.36,262.0,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,1.7,0.372,0.362,2.3491,1.72,0.3635,0.3535,2.3617
Client 1,2,129.06,0.0,0.0,47.49,,2,170,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 2,2,127.73,0.0,0.0,46.76,,2,170,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 3,2,144.19,0.0,0.0,50.26,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 4,2,142.54,0.0,0.0,50.84,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 5,2,145.26,0.0,0.0,51.61,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 6,2,145.24,0.0,0.0,51.54,232.78,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,1.48,0.4602,0.4532,2.0086,1.52,0.4441,0.4364,2.0687
Client 1,3,126.06,0.0,0.0,46.97,,2,170,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 2,3,129.35,0.0,0.0,47.26,,2,170,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 3,3,143.09,0.0,0.0,48.95,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 4,3,137.72,0.0,0.0,48.15,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 5,3,138.46,0.0,0.0,49.04,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 6,3,140.94,0.0,0.0,49.44,227.58,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,1.31,0.5285,0.524,1.7253,1.35,0.5081,0.5033,1.8093
Client 1,4,128.57,0.0,0.0,47.24,,2,170,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 2,4,125.64,0.0,0.0,46.35,,2,170,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 3,4,143.92,0.0,0.0,48.42,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 4,4,139.48,0.0,0.0,49.16,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 5,4,141.79,0.0,0.0,50.15,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 6,4,141.73,0.0,0.0,50.67,227.79,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,1.22,0.5668,0.5631,1.5507,1.28,0.5409,0.5369,1.6598
Client 1,5,123.42,0.0,0.0,48.12,,2,170,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 2,5,126.59,0.0,0.0,46.3,,2,170,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 3,5,146.14,0.0,0.0,48.92,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 4,5,139.81,0.0,0.0,49.21,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 5,5,140.4,0.0,0.0,49.37,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 6,5,142.53,0.0,0.0,50.5,229.81,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,1.09,0.6106,0.6087,1.3948,1.17,0.579,0.5769,1.5169
Client 1,6,116.01,0.0,0.0,45.49,,2,169,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 2,6,116.55,0.0,0.0,45.07,,2,169,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 3,6,137.0,0.0,0.0,47.79,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 4,6,135.84,0.0,0.0,48.56,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 5,6,136.42,0.0,0.0,48.86,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 6,6,137.08,0.0,0.0,48.87,221.17,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,1.01,0.6417,0.6395,1.2682,1.11,0.6058,0.6032,1.4088
Client 1,7,114.83,0.0,0.0,47.37,,2,169,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 2,7,113.88,0.0,0.0,46.26,,2,169,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 3,7,133.79,0.0,0.0,48.68,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 4,7,134.5,0.0,0.0,48.72,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 5,7,135.7,0.0,0.0,49.35,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 6,7,137.37,0.0,0.0,50.49,222.19,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,0.94,0.6674,0.6673,1.1835,1.06,0.6215,0.6209,1.3538
Client 1,8,118.11,0.0,0.0,46.64,,2,169,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 2,8,115.76,0.0,0.0,45.15,,2,169,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 3,8,136.27,0.0,0.0,48.75,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 4,8,133.45,0.0,0.0,46.81,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 5,8,135.04,0.0,0.0,48.28,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 6,8,135.23,0.0,0.0,49.37,218.78,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,0.92,0.6802,0.6801,1.1379,1.06,0.6275,0.6272,1.3361
Client 1,9,117.8,0.0,0.0,47.02,,2,169,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
