Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 11,1,33.36,30.14,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 12,1,29.17,27.31,,2,140,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 13,1,31.18,31.88,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 14,1,34.58,27.93,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 15,1,31.13,28.23,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 16,1,34.95,28.75,68.86,1,100,41,CNN 16k,IID,CIFAR-10,1.58,0.4252,0.4125,2.1563,1.59,0.4212,0.4078,2.1786
Client 11,2,30.02,28.31,,2,140,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 12,2,30.41,26.46,,2,141,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 13,2,31.02,28.92,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 14,2,30.83,27.94,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 15,2,31.21,28.68,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 16,2,30.28,27.81,59.95,1,100,41,CNN 16k,IID,CIFAR-10,1.46,0.4708,0.461,1.9567,1.48,0.4627,0.4529,1.9906
