Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,7.94,0.14,40.36,2.41,,2,164,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,1,11.17,0.14,36.45,2.5,76.27,2,166,28,TextMLP,non-IID,AGNEWS,0.52,0.7654,0.7601,0.2821,2.77,0.623,0.5363,0.5897
Client 23,2,6.93,0.14,0.0,2.22,,2,194,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,2,6.67,0.14,0.0,2.16,9.96,2,195,28,TextMLP,non-IID,AGNEWS,0.44,0.7921,0.7873,0.2532,4.04,0.6476,0.5601,0.5501
Client 23,3,6.97,0.14,0.0,2.27,,2,195,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,3,6.8,0.14,0.0,2.17,10.05,2,195,28,TextMLP,non-IID,AGNEWS,0.42,0.8014,0.7943,0.243,5.15,0.654,0.5648,0.5643
Client 23,4,7.46,0.14,0.0,2.4,,2,193,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,4,6.67,0.14,0.0,2.14,10.8,2,194,28,TextMLP,non-IID,AGNEWS,0.42,0.7983,0.7882,0.2489,5.34,0.6486,0.5572,0.617
Client 23,5,7.67,0.14,0.0,2.37,,2,193,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,5,6.81,0.14,0.0,2.27,11.0,2,195,28,TextMLP,non-IID,AGNEWS,0.4,0.809,0.8036,0.2321,5.85,0.6619,0.5729,0.5274
Client 23,6,6.94,0.14,0.0,2.2,,2,194,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,6,6.94,0.14,0.0,2.28,10.07,2,193,28,TextMLP,non-IID,AGNEWS,0.39,0.8105,0.8084,0.2303,6.24,0.6691,0.5812,0.4782
Client 23,7,7.36,0.14,0.0,2.37,,2,194,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,7,6.91,0.14,0.0,2.19,10.55,2,193,28,TextMLP,non-IID,AGNEWS,0.4,0.8059,0.8015,0.2352,6.31,0.6593,0.5715,0.5205
Client 23,8,7.54,0.14,0.0,2.4,,2,195,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,8,7.01,0.14,0.0,2.25,10.62,2,194,28,TextMLP,non-IID,AGNEWS,0.39,0.812,0.8084,0.2258,6.66,0.667,0.5758,0.5197
Client 23,9,8.0,0.14,0.0,2.79,,2,195,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,9,6.92,0.14,0.0,2.15,11.68,2,193,28,TextMLP,non-IID,AGNEWS,0.39,0.8137,0.809,0.2227,6.9,0.6674,0.5762,0.5136
Client 23,10,8.04,0.14,0.0,2.37,,2,193,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,10,6.41,0.14,0.0,2.27,11.32,2,194,28,TextMLP,non-IID,AGNEWS,0.38,0.8161,0.812,0.221,6.98,0.6721,0.5818,0.4916
Client 23,11,7.78,0.14,0.0,2.29,,2,195,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,11,7.07,0.14,0.0,2.46,10.83,2,192,28,TextMLP,non-IID,AGNEWS,0.39,0.8051,0.8007,0.235,6.96,0.6561,0.5679,0.5438
Client 23,12,7.7,0.14,0.0,2.53,,2,194,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,12,6.89,0.14,0.0,2.2,11.07,2,195,28,TextMLP,non-IID,AGNEWS,0.38,0.8165,0.8112,0.2213,7.37,0.6651,0.5754,0.522
Client 23,13,7.33,0.14,0.0,2.66,,2,195,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,13,7.46,0.14,0.0,2.22,10.67,2,195,28,TextMLP,non-IID,AGNEWS,0.38,0.8066,0.8047,0.2315,7.21,0.6671,0.577,0.5188
Client 23,14,7.41,0.14,0.0,2.38,,2,195,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,14,6.66,0.14,0.0,2.15,10.48,2,195,28,TextMLP,non-IID,AGNEWS,0.37,0.8172,0.8118,0.2208,7.15,0.6664,0.5765,0.5224
Client 23,15,7.21,0.14,0.0,2.31,,2,194,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,15,6.74,0.14,0.0,2.17,10.24,2,195,28,TextMLP,non-IID,AGNEWS,0.38,0.8153,0.8102,0.2237,7.14,0.6596,0.5714,0.5341
Client 23,16,7.62,0.14,0.0,2.77,,2,195,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,16,6.84,0.14,0.0,2.17,11.19,2,195,28,TextMLP,non-IID,AGNEWS,0.37,0.8184,0.8131,0.2187,6.85,0.6698,0.5788,0.517
Client 23,17,7.59,0.14,0.0,2.35,,2,193,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,17,7.25,0.14,0.0,2.37,10.9,2,193,28,TextMLP,non-IID,AGNEWS,0.37,0.8187,0.8152,0.218,7.04,0.6754,0.5851,0.4828
Client 23,18,7.92,0.14,0.0,2.51,,2,193,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,18,7.07,0.14,0.0,2.3,11.29,2,195,28,TextMLP,non-IID,AGNEWS,0.39,0.812,0.8048,0.2298,7.25,0.6526,0.5655,0.5728
