Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,8.64,0.14,33.26,2.58,,2,161,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,1,8.57,0.14,32.98,2.44,,2,162,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,1,7.01,0.14,51.83,2.29,,1,100,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,1,7.19,0.14,51.1,2.43,,1,100,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,1,6.95,0.14,51.25,2.25,,1,100,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,1,7.62,0.14,51.57,2.3,,1,100,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 7,1,7.02,0.14,50.86,2.36,,1,100,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 8,1,7.02,0.14,51.28,2.3,,1,100,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 9,1,7.34,0.14,51.09,2.28,,1,100,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 10,1,7.2,0.14,51.23,2.41,79.62,1,100,27,TextMLP,non-IID,AGNEWS,0.51,0.7667,0.7619,0.2786,2.91,0.6245,0.538,0.5748
Client 1,2,7.26,0.14,0.0,2.28,,2,195,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,2,7.48,0.14,0.0,2.23,,2,195,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,2,7.53,0.14,0.0,2.37,,1,100,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,2,7.21,0.14,0.0,2.41,,1,100,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,2,7.26,0.14,0.0,2.34,,1,100,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,2,7.21,0.14,0.0,2.35,,1,100,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 7,2,7.21,0.14,0.0,2.47,,1,100,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 8,2,7.48,0.14,0.0,2.4,,1,100,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 9,2,7.02,0.14,0.0,2.26,,1,100,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 10,2,7.63,0.14,0.0,2.44,10.78,1,100,27,TextMLP,non-IID,AGNEWS,0.44,0.7897,0.7861,0.2554,4.5,0.6487,0.5628,0.5191
Client 1,3,7.05,0.14,0.0,2.25,,2,195,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,3,7.34,0.14,0.0,2.38,,2,192,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,3,7.02,0.14,0.0,2.32,,1,100,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,3,7.27,0.14,0.0,2.37,,1,100,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,3,7.13,0.14,0.0,2.4,,1,100,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,3,6.94,0.14,0.0,2.31,,1,100,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 7,3,6.99,0.14,0.0,2.35,,1,100,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 8,3,7.37,0.14,0.0,2.35,,1,100,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 9,3,7.3,0.14,0.0,2.39,,1,100,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 10,3,7.65,0.14,0.0,2.45,10.92,1,100,27,TextMLP,non-IID,AGNEWS,0.41,0.7995,0.7936,0.2423,5.44,0.6546,0.565,0.5416
