Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,6.09,0.22,0.0,2.38,,2,131,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,1,6.08,0.22,0.0,2.36,28.58,2,132,19,TextMLP,non-IID,AGNEWS,0.34,0.8818,0.8291,0.1776,2.93,0.6104,0.5283,0.6853
Client 23,2,10.66,0.14,45.46,2.62,,2,188,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,2,7.85,0.14,44.52,2.52,65.65,2,187,27,TextMLP,non-IID,AGNEWS,0.44,0.791,0.7832,0.2574,3.56,0.6387,0.5519,0.6032
Client 23,3,4.74,0.14,0.0,1.42,,2,177,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,3,5.04,0.14,0.0,1.55,8.9,2,174,28,TextMLP,non-IID,AGNEWS,0.42,0.8033,0.7972,0.2372,4.74,0.6572,0.5676,0.5286
Client 23,4,3.68,0.14,0.0,1.14,,2,173,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,4,3.78,0.14,0.0,1.27,6.98,2,172,28,TextMLP,non-IID,AGNEWS,0.42,0.8021,0.7969,0.242,5.28,0.6518,0.5657,0.5382
Client 23,5,2.66,0.14,0.0,0.79,,2,171,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,5,3.29,0.14,0.0,1.0,5.85,2,174,28,TextMLP,non-IID,AGNEWS,0.41,0.8014,0.7991,0.2385,5.49,0.6604,0.5713,0.5198
Client 23,6,2.0,0.14,0.0,0.63,,2,170,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,6,1.98,0.14,0.0,0.63,3.95,2,167,28,TextMLP,non-IID,AGNEWS,0.4,0.81,0.8051,0.2304,5.62,0.6611,0.5733,0.5114
