Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,23.78,0.0,0.0,24.18,,2,113,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,1,22.11,0.0,0.0,22.34,,2,114,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,1,24.21,0.0,0.0,24.07,,1,101,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,1,25.68,0.0,0.0,23.59,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,1,26.25,0.0,0.0,24.81,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,1,25.25,0.0,0.0,25.13,116.97,1,101,21,CNN 16k,non-IID,CIFAR-10,1.18,0.5949,0.343,1.5550,2.8,0.3242,0.2444,2.5598
Client 1,2,24.00,0.37,0.0,22.67,,2,123,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,2,24.15,0.13,0.0,25.4,,2,124,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,2,24.17,0.1,0.0,23.46,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,2,25.7,0.11,0.0,24.61,,1,99,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,2,28.15,0.12,0.0,24.04,,1,98,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,2,24.85,0.21,0.0,24.13,81.83,1,100,21,CNN 16k,non-IID,CIFAR-10,1.09,0.6162,0.3937,1.4420,2.5,0.3595,0.2934,2.3834
Client 1,3,22.52,0.37,0.0,22.26,,2,124,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,3,24.66,0.13,0.0,25.52,,2,120,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,3,25.34,0.1,0.0,27.1,,1,99,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,3,24.56,0.11,0.0,24.19,,1,101,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,3,25.2,0.12,0.0,25.20,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,3,24.78,0.21,0.0,25.11,85.94,1,100,21,CNN 16k,non-IID,CIFAR-10,1.04,0.6391,0.4365,1.3622,2.41,0.3711,0.3144,2.3402
Client 1,4,23.84,0.37,0.0,22.79,,2,124,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,4,22.96,0.13,0.0,23.78,,2,123,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,4,28.68,0.1,0.0,25.92,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,4,25.1,0.11,0.0,23.12,,1,101,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,4,24.12,0.12,0.0,23.86,,1,101,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,4,24.8,0.21,0.0,25.66,88.14,1,101,21,CNN 16k,non-IID,CIFAR-10,0.97,0.6514,0.4409,1.282,2.35,0.3830,0.326,2.3202
Client 1,5,23.76,0.37,0.0,23.04,,2,123,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,5,22.36,0.13,0.0,22.27,,2,122,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,5,25.57,0.1,0.0,25.07,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,5,25.23,0.11,0.0,26.5,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,5,26.54,0.12,0.0,23.55,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,5,25.53,0.21,0.0,24.62,81.75,1,99,21,CNN 16k,non-IID,CIFAR-10,0.96,0.6665,0.4799,1.2791,2.27,0.4042,0.3443,2.2166
Client 1,6,21.97,0.37,0.0,24.17,,2,120,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,6,23.56,0.13,0.0,23.43,,2,122,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,6,25.65,0.1,0.0,24.65,,1,99,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,6,25.54,0.11,0.0,23.84,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,6,27.13,0.12,0.0,24.36,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,6,24.43,0.21,0.0,24.90,83.3,1,101,21,CNN 16k,non-IID,CIFAR-10,0.95,0.6788,0.4865,1.1878,2.27,0.4021,0.3513,2.2838
Client 1,7,22.86,0.37,0.0,25.51,,2,120,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,7,22.21,0.13,0.0,22.67,,2,122,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,7,24.99,0.1,0.0,24.38,,1,101,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,7,27.0,0.11,0.0,23.62,,1,102,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,7,24.45,0.12,0.0,24.00,,1,101,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,7,24.69,0.21,0.0,26.42,81.74,1,100,21,CNN 16k,non-IID,CIFAR-10,0.9,0.6817,0.5135,1.1702,2.34,0.4082,0.3550,2.18
Client 1,8,23.29,0.37,0.0,22.53,,2,123,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,8,24.66,0.13,0.0,23.4,,2,122,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,8,25.30,0.1,0.0,24.93,,1,99,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,8,25.84,0.11,0.0,25.66,,1,99,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,8,24.8,0.12,0.0,24.38,,1,101,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
