Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,24.3,0.17,0.0,25.76,,2,114,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 2,1,24.23,0.16,0.0,24.72,,2,114,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 3,1,25.11,0.11,0.0,24.25,,1,100,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 4,1,26.54,0.1,0.0,25.08,,1,100,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 5,1,26.36,0.11,0.0,25.25,,1,100,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 6,1,24.64,0.22,0.0,24.9,,1,100,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 7,1,26.89,0.1,0.0,25.42,,1,100,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 8,1,26.92,0.15,0.0,23.54,,1,100,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 9,1,24.48,0.08,0.0,25.83,,1,100,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 10,1,26.13,0.1,0.0,25.25,134.94,1,100,21,CNN 16k,non-IID,CIFAR10,1.38,0.4945,0.3398,1.8997,2.85,0.316,0.248,2.467
