Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,24.16,0.09,0.0,23.85,,2,114,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,1,24.91,0.1,0.0,24.46,127.83,2,114,21,CNN 16k,non-IID,CIFAR10,1.47,0.4618,0.3395,1.9979,2.56,0.3207,0.2634,2.3039
Client 23,2,8.44,0.05,30.53,7.4,,2,148,38,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,2,9.42,0.05,34.1,7.8,55.79,2,147,39,CNN 16k,non-IID,CIFAR10,1.44,0.4309,0.4122,2.3208,2.44,0.3884,0.3551,2.2154
Client 23,3,8.69,0.05,0.0,7.68,,2,180,38,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,3,8.24,0.05,0.0,7.23,16.83,2,180,39,CNN 16k,non-IID,CIFAR10,1.35,0.4784,0.4618,2.0563,2.46,0.4243,0.3938,2.0632
Client 23,4,9.52,0.05,0.0,7.45,,2,182,38,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,4,8.93,0.05,0.0,8.2,17.49,2,178,39,CNN 16k,non-IID,CIFAR10,1.3,0.4963,0.4916,1.9561,2.56,0.4413,0.4145,1.9894
Client 23,5,8.74,0.05,0.0,7.4,,2,181,38,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,5,9.45,0.05,0.0,7.35,17.13,2,182,39,CNN 16k,non-IID,CIFAR10,1.24,0.5213,0.5034,1.845,2.6,0.4505,0.4175,1.9606
Client 23,6,8.62,0.05,0.0,7.26,,2,182,38,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,6,9.98,0.05,0.0,8.04,18.36,2,181,39,CNN 16k,non-IID,CIFAR10,1.21,0.531,0.5178,1.8347,2.58,0.4615,0.4318,1.8942
Client 23,7,8.33,0.05,0.0,7.14,,2,181,38,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,7,9.01,0.05,0.0,7.86,17.27,2,181,39,CNN 16k,non-IID,CIFAR10,1.18,0.5409,0.5396,1.8054,2.55,0.4672,0.4419,1.9143
Client 23,8,8.06,0.05,0.0,6.89,,2,181,38,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,8,8.66,0.05,0.0,7.26,16.29,2,182,39,CNN 16k,non-IID,CIFAR10,1.17,0.5508,0.5489,1.7262,2.63,0.4726,0.4465,1.8614
Client 23,9,7.74,0.05,0.0,7.57,,2,178,38,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,9,8.04,0.05,0.0,7.3,15.66,2,181,39,CNN 16k,non-IID,CIFAR10,1.14,0.562,0.5566,1.6342,2.67,0.4642,0.4344,1.8342
