Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,5.71,0.0,0.0,10.23,,2,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,1,6.02,0.0,0.0,2.34,,2,130,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,1,5.95,0.0,0.0,3.39,,1,97,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,1,7.01,0.0,0.0,11.42,,1,77,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,1,6.23,0.0,0.0,11.32,,1,76,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 28,1,5.9,0.0,0.0,4.34,,1,93,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 29,1,6.4,0.0,0.0,11.41,,1,76,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 30,1,6.21,0.0,0.0,11.3,,1,76,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 31,1,6.38,0.0,0.0,9.36,,1,80,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 32,1,6.34,0.0,0.0,4.69,38.36,1,94,19,TextMLP,IID,AGNEWS,0.63,0.766,0.7655,0.3535,0.64,0.7605,0.7601,0.3584
Client 23,2,8.14,0.0,0.0,6.06,,2,151,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,2,7.98,0.0,0.0,6.97,,2,141,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,2,8.72,0.0,0.0,13.03,,1,56,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,2,9.4,0.0,0.0,11.43,,1,64,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,2,10.56,0.0,0.0,10.49,,1,68,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 28,2,10.12,0.0,0.0,10.94,,1,68,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 29,2,10.09,0.0,0.0,7.83,,1,79,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 30,2,10.1,0.0,0.0,4.81,,1,94,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 31,2,10.41,0.0,0.0,9.78,,1,72,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 32,2,8.73,0.0,0.0,13.05,22.67,1,56,19,TextMLP,IID,AGNEWS,0.53,0.8092,0.8088,0.2984,0.55,0.8012,0.8008,0.3092
Client 23,3,6.53,0.0,0.0,7.3,,2,124,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,3,5.76,0.0,0.0,6.3,,2,130,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,3,6.28,0.0,0.0,7.48,,1,66,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,3,6.48,0.0,0.0,8.49,,1,62,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,3,6.33,0.0,0.0,11.34,,1,52,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 28,3,5.85,0.0,0.0,2.29,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 29,3,5.96,0.0,0.0,8.36,,1,61,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 30,3,5.79,0.0,0.0,4.29,,1,82,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 31,3,5.87,0.0,0.0,12.32,,1,48,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 32,3,6.24,0.0,0.0,5.56,19.04,1,76,19,TextMLP,IID,AGNEWS,0.49,0.8231,0.822,0.2787,0.51,0.8133,0.8122,0.2931
