Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,26.58,0.0,0.0,26.2,,2,123,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,1,26.23,0.0,0.0,25.2,,2,120,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,1,27.95,0.0,0.0,26.75,,1,102,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,1,26.58,0.0,0.0,25.54,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,1,25.90,0.0,0.0,25.48,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,1,27.11,0.0,0.0,25.54,,1,101,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 29,1,26.85,0.0,0.0,25.61,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 30,1,27.09,0.0,0.0,26.69,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 31,1,27.50,0.0,0.0,27.18,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 32,1,26.98,0.0,0.0,29.28,75.22,1,99,21,CNN 16k,IID,CIFAR-10,1.55,0.4374,0.4174,2.0754,1.56,0.4284,0.4205,2.0854
Client 23,2,27.3,0.0,0.0,28.97,,2,121,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,2,26.05,0.0,0.0,26.71,,2,121,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,2,27.19,0.0,0.0,26.65,,1,99,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,2,26.88,0.0,0.0,25.57,,1,99,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,2,27.25,0.0,0.0,26.68,,1,102,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,2,27.85,0.0,0.0,26.4,,1,102,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 29,2,26.51,0.0,0.0,27.59,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 30,2,27.16,0.0,0.0,26.72,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 31,2,26.93,0.0,0.0,27.83,,1,102,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 32,2,26.7,0.0,0.0,26.88,74.46,1,100,21,CNN 16k,IID,CIFAR-10,1.44,0.4659,0.4621,1.9735,1.47,0.4664,0.4570,1.9432
Client 23,3,25.41,0.0,0.0,25.90,,2,125,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,3,25.28,0.0,0.0,26.46,,2,121,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,3,26.98,0.0,0.0,26.76,,1,101,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,3,26.33,0.0,0.0,25.76,,1,102,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,3,28.15,0.0,0.0,25.9,,1,99,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,3,25.84,0.0,0.0,25.28,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 29,3,26.57,0.0,0.0,26.63,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 30,3,25.80,0.0,0.0,25.2,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 31,3,27.01,0.0,0.0,26.80,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 32,3,26.84,0.0,0.0,27.06,71.17,1,101,21,CNN 16k,IID,CIFAR-10,1.38,0.4925,0.501,1.8337,1.40,0.4911,0.4818,1.8515
Client 23,4,26.02,0.0,0.0,25.95,,2,123,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,4,25.08,0.0,0.0,26.04,,2,122,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,4,26.79,0.0,0.0,26.25,,1,99,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,4,26.6,0.0,0.0,25.38,,1,99,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,4,26.6,0.0,0.0,24.77,,1,101,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,4,25.12,0.0,0.0,24.48,,1,103,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 29,4,26.29,0.0,0.0,27.37,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 30,4,25.0,0.0,0.0,24.74,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 31,4,27.36,0.0,0.0,26.83,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 32,4,25.89,0.0,0.0,25.29,71.72,1,99,21,CNN 16k,IID,CIFAR-10,1.31,0.5227,0.5160,1.6760,1.39,0.4996,0.4975,1.825
Client 23,5,25.93,0.0,0.0,26.17,,2,123,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,5,24.91,0.0,0.0,24.97,,2,122,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,5,27.56,0.0,0.0,26.57,,1,99,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,5,26.49,0.0,0.0,27.02,,1,101,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,5,25.83,0.0,0.0,25.69,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,5,25.98,0.0,0.0,26.73,,1,102,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 29,5,26.27,0.0,0.0,26.41,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 30,5,26.53,0.0,0.0,26.22,,1,99,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 31,5,27.65,0.0,0.0,28.1,,1,101,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 32,5,26.78,0.0,0.0,26.15,73.64,1,100,21,CNN 16k,IID,CIFAR-10,1.32,0.5275,0.5292,1.6836,1.36,0.5108,0.5028,1.7905
Client 23,6,25.03,0.0,0.0,25.02,,2,124,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,6,24.96,0.0,0.0,24.60,,2,123,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,6,25.98,0.0,0.0,25.65,,1,101,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,6,25.99,0.0,0.0,25.83,,1,99,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,6,25.59,0.0,0.0,25.9,,1,99,21,CNN 16k,IID,CIFAR-10,,,,,,,,
