Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,5.82,0.0,0.0,9.21,,2,103,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,1,5.88,0.0,0.0,3.23,,2,127,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,1,5.76,0.0,0.0,10.31,,1,77,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,1,5.76,0.0,0.0,12.3,,1,73,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,1,6.06,0.0,0.0,7.27,,1,84,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 28,1,5.8,0.0,0.0,8.41,,1,81,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 29,1,6.0,0.0,0.0,9.3,,1,79,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 30,1,5.97,0.0,0.0,6.4,,1,87,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 31,1,6.0,0.0,0.0,4.41,,1,93,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 32,1,6.16,0.0,0.0,3.52,36.63,1,96,19,TextMLP,IID,AGNEWS,0.6,0.7796,0.7788,0.3444,0.61,0.7727,0.7719,0.3509
Client 23,2,5.61,0.0,0.0,5.22,,2,140,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,2,5.75,0.0,0.0,7.21,,2,120,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,2,6.3,0.0,0.0,12.48,,1,50,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,2,6.06,0.0,0.0,5.32,,1,76,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,2,6.37,0.0,0.0,7.56,,1,67,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 28,2,6.25,0.0,0.0,6.65,,1,72,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 29,2,6.01,0.0,0.0,9.35,,1,57,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 30,2,7.28,0.0,0.0,6.95,,1,75,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 31,2,6.18,0.0,0.0,5.38,,1,77,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 32,2,6.12,0.0,0.0,10.33,20.0,1,54,19,TextMLP,IID,AGNEWS,0.52,0.8129,0.8122,0.2934,0.53,0.8054,0.8047,0.3026
Client 23,3,7.56,0.0,0.0,5.95,,2,150,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,3,7.34,0.0,0.0,9.84,,2,117,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,3,7.09,0.0,0.0,9.78,,1,61,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,3,8.08,0.0,0.0,4.26,,1,92,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,3,7.85,0.0,0.0,3.33,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 28,3,7.96,0.0,0.0,8.22,,1,71,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 29,3,7.66,0.0,0.0,5.1,,1,85,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 30,3,6.88,0.0,0.0,7.76,,1,68,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 31,3,6.8,0.0,0.0,5.65,,1,78,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 32,3,7.71,0.0,0.0,9.01,19.3,1,66,19,TextMLP,IID,AGNEWS,0.48,0.8252,0.8245,0.2751,0.5,0.8165,0.8158,0.2858
Client 23,4,9.15,0.0,0.0,9.67,,2,122,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,4,9.32,0.0,0.0,6.79,,2,143,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,4,7.61,0.0,0.0,2.55,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,4,9.54,0.0,0.0,3.82,,1,93,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,4,9.56,0.0,0.0,2.94,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 28,4,9.72,0.0,0.0,8.86,,1,70,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 29,4,9.31,0.0,0.0,3.63,,1,93,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 30,4,7.49,0.0,0.0,7.55,,1,69,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 31,4,7.78,0.0,0.0,10.63,,1,59,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 32,4,9.57,0.0,0.0,9.82,20.42,1,66,19,TextMLP,IID,AGNEWS,0.46,0.8329,0.8325,0.2651,0.48,0.8242,0.8237,0.2765
Client 23,5,7.19,0.0,0.0,2.24,,2,186,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,5,6.95,0.0,0.0,7.23,,2,127,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,5,6.25,0.0,0.0,3.42,,1,91,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,5,7.35,0.0,0.0,11.37,,1,55,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,5,7.28,0.0,0.0,2.41,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 28,5,7.49,0.0,0.0,11.38,,1,55,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 29,5,6.13,0.0,0.0,12.4,,1,49,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 30,5,6.43,0.0,0.0,4.43,,1,83,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 31,5,6.38,0.0,0.0,7.45,,1,67,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 32,5,7.57,0.0,0.0,6.42,19.94,1,74,19,TextMLP,IID,AGNEWS,0.46,0.8327,0.8323,0.2628,0.48,0.8247,0.8243,0.2738
Client 23,6,5.84,0.0,0.0,8.22,,2,113,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,6,5.91,0.0,0.0,12.4,,2,91,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,6,6.13,0.0,0.0,6.37,,1,71,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,6,5.87,0.0,0.0,12.39,,1,48,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,6,5.96,0.0,0.0,11.39,,1,51,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 28,6,6.06,0.0,0.0,3.33,,1,90,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 29,6,6.23,0.0,0.0,5.38,,1,76,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 30,6,6.35,0.0,0.0,7.45,,1,66,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 31,6,6.34,0.0,0.0,3.37,,1,91,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 32,6,5.84,0.0,0.0,10.35,20.31,1,53,19,TextMLP,IID,AGNEWS,0.45,0.8361,0.8355,0.2625,0.47,0.827,0.8264,0.2741
Client 23,7,6.25,0.0,0.0,5.27,,2,143,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,7,5.83,0.0,0.0,7.39,,2,121,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,7,6.57,0.0,0.0,5.98,,1,79,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,7,5.85,0.0,0.0,11.38,,1,51,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,7,6.6,0.0,0.0,9.0,,1,64,19,TextMLP,IID,AGNEWS,,,,,,,,
