Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,25.26,0.0,0.0,26.28,,2,122,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,1,23.73,0.0,0.0,23.81,,2,122,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,1,26.63,0.0,0.0,26.95,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,1,27.05,0.0,0.0,27.28,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,1,26.62,0.0,0.0,26.59,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,1,25.07,0.0,0.0,24.69,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 29,1,25.65,0.0,0.0,25.24,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 30,1,27.52,0.0,0.0,27.41,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 31,1,27.72,0.0,0.0,27.52,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 32,1,27.71,0.0,0.0,27.3,74.52,1,100,21,CNN 16k,IID,CIFAR-10,1.6,0.4132,0.3992,2.2302,1.61,0.4074,0.3929,2.2682
Client 23,2,26.26,0.0,0.0,27.05,,2,123,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,2,25.37,0.0,0.0,24.78,,2,123,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,2,27.33,0.0,0.0,28.06,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,2,29.03,0.0,0.0,28.36,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,2,28.27,0.0,0.0,27.68,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,2,26.56,0.0,0.0,25.85,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 29,2,28.84,0.0,0.0,26.73,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 30,2,27.34,0.0,0.0,27.11,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 31,2,27.39,0.0,0.0,26.88,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 32,2,27.63,0.0,0.0,27.12,75.46,1,100,21,CNN 16k,IID,CIFAR-10,1.51,0.4493,0.4395,2.098,1.53,0.441,0.4309,2.1263
Client 23,3,24.52,0.0,0.0,25.45,,2,123,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,3,24.33,0.0,0.0,24.35,,2,123,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,3,28.04,0.0,0.0,27.13,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,3,27.68,0.0,0.0,26.62,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,3,27.03,0.0,0.0,26.78,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,3,25.5,0.0,0.0,25.03,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 29,3,26.66,0.0,0.0,25.84,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 30,3,28.06,0.0,0.0,26.78,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 31,3,27.67,0.0,0.0,26.76,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 32,3,25.82,0.0,0.0,26.46,72.96,1,100,21,CNN 16k,IID,CIFAR-10,1.45,0.4731,0.4624,1.9863,1.48,0.4624,0.4511,2.0267
Client 23,4,25.62,0.0,0.0,25.58,,2,123,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,4,25.04,0.0,0.0,25.1,,2,122,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,4,27.35,0.0,0.0,26.83,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,4,28.34,0.0,0.0,27.08,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,4,27.1,0.0,0.0,26.01,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,4,26.15,0.0,0.0,26.04,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 29,4,25.21,0.0,0.0,25.1,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 30,4,27.35,0.0,0.0,26.94,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 31,4,27.64,0.0,0.0,26.24,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 32,4,26.13,0.0,0.0,25.87,73.11,1,100,21,CNN 16k,IID,CIFAR-10,1.38,0.5003,0.4938,1.8754,1.42,0.486,0.4789,1.9296
