Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,25.3,0.28,0.0,25.1,,2,117,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,1,24.49,0.11,0.0,24.7,,2,117,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,1,24.93,0.16,0.0,25.76,127.99,2,117,21,CNN 64k,non-IID,CIFAR10,1.04,0.6527,0.3745,1.2544,2.64,0.3237,0.2598,2.432
Client 23,2,25.12,0.28,0.0,24.12,,2,129,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,2,25.8,0.11,0.0,24.74,,2,128,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,2,25.68,0.16,0.0,24.07,81.35,2,127,21,CNN 64k,non-IID,CIFAR10,0.9,0.6958,0.4873,1.1354,2.47,0.4021,0.353,2.2681
Client 23,3,25.73,0.28,0.0,24.09,,2,128,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,3,24.7,0.11,0.0,24.91,,2,129,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,3,26.79,0.16,0.0,25.73,83.44,2,127,21,CNN 64k,non-IID,CIFAR10,0.8,0.7281,0.5457,0.9798,2.68,0.4199,0.3851,2.0555
Client 23,4,24.38,0.28,0.0,24.13,,2,129,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,4,27.67,0.11,0.0,24.62,,2,128,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,4,26.16,0.16,0.0,26.57,85.18,2,127,21,CNN 64k,non-IID,CIFAR10,0.71,0.7578,0.6021,0.8814,2.56,0.458,0.4246,2.0053
Client 23,5,26.6,0.28,0.0,23.02,,2,128,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,5,26.42,0.11,0.0,25.52,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,5,24.89,0.16,0.0,24.62,84.88,2,128,21,CNN 64k,non-IID,CIFAR10,0.63,0.7872,0.6633,0.7785,2.6,0.4956,0.467,1.7638
Client 23,6,27.21,0.28,0.0,26.11,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,6,25.49,0.11,0.0,24.18,,2,128,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,6,24.59,0.16,0.0,24.7,87.8,2,128,21,CNN 64k,non-IID,CIFAR10,0.57,0.8069,0.6931,0.6774,2.61,0.4977,0.4698,1.7957
