Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,5.84,0.22,0.0,2.3,,2,129,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,1,6.26,0.22,0.0,2.36,,2,131,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,1,6.45,0.22,0.0,2.32,29.47,2,132,19,TextMLP,non-IID,AGNEWS,0.37,0.8708,0.8032,0.1855,3.15,0.5868,0.5048,0.7196
Client 23,2,5.36,0.22,0.0,2.13,,2,187,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,2,6.48,0.22,0.0,2.34,,2,186,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,2,6.3,0.22,0.0,2.32,10.9,2,186,19,TextMLP,non-IID,AGNEWS,0.29,0.8913,0.8409,0.1647,4.31,0.6064,0.527,0.6938
Client 23,3,7.23,0.14,25.96,2.33,,2,183,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,3,7.47,0.14,26.19,2.43,,2,183,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,3,7.86,0.14,29.43,2.4,,2,183,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,3,7.93,0.14,46.15,2.23,,1,100,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,3,6.52,0.14,44.38,2.46,,1,100,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,3,7.34,0.14,43.53,2.4,57.47,1,100,26,TextMLP,non-IID,AGNEWS,0.43,0.7984,0.7944,0.2452,4.7,0.6541,0.5677,0.5158
Client 23,4,6.99,0.14,0.0,2.21,,2,194,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,4,7.39,0.14,0.0,2.35,,2,193,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,4,7.18,0.14,0.0,2.37,,2,193,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,4,7.17,0.14,0.0,2.35,,1,100,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,4,7.07,0.14,0.0,2.27,,1,100,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,4,7.45,0.14,0.0,2.45,10.79,1,100,26,TextMLP,non-IID,AGNEWS,0.41,0.7975,0.7947,0.2464,5.6,0.6578,0.5712,0.5084
