Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,5.85,0.22,0.0,2.24,,2,131,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,1,6.09,0.22,0.0,2.35,,2,131,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,1,5.89,0.22,0.0,2.22,28.09,2,132,19,TextMLP,non-IID,AGNEWS,0.38,0.8622,0.7855,0.1978,3.12,0.5765,0.496,0.6911
Client 23,2,14.64,0.14,35.85,3.47,,2,185,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,2,14.69,0.14,42.74,3.63,,2,186,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,2,16.64,0.14,29.8,3.27,79.29,2,182,27,TextMLP,non-IID,AGNEWS,0.44,0.7935,0.7887,0.2506,3.42,0.6475,0.5609,0.532
Client 23,3,6.37,0.14,0.0,1.9,,2,177,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,3,6.51,0.14,0.0,1.79,,2,178,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,3,5.88,0.14,0.0,1.69,10.7,2,177,27,TextMLP,non-IID,AGNEWS,0.42,0.7911,0.7875,0.2525,4.55,0.6549,0.5697,0.5018
Client 23,4,5.64,0.14,0.0,1.33,,2,176,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,4,3.98,0.14,0.0,1.2,,2,173,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,4,3.67,0.14,0.0,1.15,9.16,2,171,27,TextMLP,non-IID,AGNEWS,0.42,0.797,0.7922,0.2448,5.21,0.655,0.5652,0.5466
Client 23,5,2.86,0.14,0.0,0.91,,2,172,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,5,3.01,0.14,0.0,0.92,,2,173,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,5,2.77,0.14,0.0,0.83,5.39,2,170,27,TextMLP,non-IID,AGNEWS,0.41,0.8058,0.8009,0.2365,5.59,0.6589,0.571,0.5176
Client 23,6,2.31,0.14,0.0,0.7,,2,171,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,6,2.17,0.14,0.0,0.69,,2,172,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,6,2.1,0.14,0.0,0.67,4.25,2,173,27,TextMLP,non-IID,AGNEWS,0.41,0.8052,0.8007,0.2355,5.72,0.6579,0.5711,0.5045
