Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,27.47,0.1,0.0,27.03,,2,116,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,1,27.72,0.12,0.0,27.12,,2,116,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,1,28.88,0.27,0.0,27.26,141.52,2,116,21,CNN 64k,non-IID,CIFAR10,1.14,0.5947,0.4174,1.4469,2.67,0.3661,0.3131,2.4386
Client 23,2,27.67,0.1,0.0,26.75,,2,126,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,2,27.09,0.12,0.0,26.65,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,2,28.76,0.27,0.0,27.5,,2,126,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,2,32.62,0.13,0.0,29.01,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,2,30.81,0.12,0.0,29.38,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,2,31.45,0.13,0.0,29.77,97.28,1,100,21,CNN 64k,non-IID,CIFAR10,1.03,0.6335,0.5095,1.2785,2.4,0.4328,0.3854,2.1408
Client 23,3,27.14,0.1,0.0,26.75,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,3,26.73,0.12,0.0,26.17,,2,126,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,3,28.62,0.27,0.0,28.82,,2,125,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,3,31.02,0.13,0.0,29.22,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,3,30.65,0.12,0.0,28.03,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,3,29.66,0.13,0.0,28.48,96.42,1,100,21,CNN 64k,non-IID,CIFAR10,0.92,0.6758,0.5728,1.1326,2.15,0.4763,0.4322,1.9483
Client 23,4,27.79,0.1,0.0,26.96,,2,126,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,4,26.93,0.12,0.0,27.31,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,4,27.77,0.27,0.0,27.39,,2,126,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,4,30.91,0.13,0.0,28.68,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,4,30.39,0.12,0.0,28.62,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,4,30.89,0.13,0.0,28.72,94.81,1,100,21,CNN 64k,non-IID,CIFAR10,0.82,0.7158,0.6241,0.9731,2.11,0.4965,0.4568,1.8954
Client 23,5,27.74,0.1,0.0,26.95,,2,126,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,5,27.64,0.12,0.0,26.08,,2,126,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,5,28.17,0.27,0.0,27.31,,2,126,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,5,31.56,0.13,0.0,29.31,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,5,30.69,0.12,0.0,28.99,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,5,30.45,0.13,0.0,29.6,96.05,1,100,21,CNN 64k,non-IID,CIFAR10,0.76,0.7334,0.6488,0.9051,2.06,0.5131,0.4731,1.8255
