Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,106.22,0.0,0.0,42.5,,2,168,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 2,1,118.32,0.0,0.0,42.94,,2,171,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 3,1,106.13,0.0,0.0,42.87,,2,168,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 4,1,123.68,0.0,0.0,43.4,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 5,1,126.21,0.0,0.0,43.26,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 6,1,125.84,0.0,0.0,42.24,188.04,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,1.7,0.3726,0.3544,2.3056,1.72,0.3651,0.3461,2.3212
Client 1,2,114.26,0.0,0.0,42.7,,2,171,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 2,2,118.69,0.0,0.0,44.24,,2,172,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 3,2,106.97,0.0,0.0,44.23,,2,169,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 4,2,123.95,0.0,0.0,44.31,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 5,2,125.16,0.0,0.0,44.88,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 6,2,127.43,0.0,0.0,44.57,187.92,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,1.47,0.4669,0.4586,2.0183,1.5,0.4541,0.4451,2.0499
Client 1,3,104.03,0.0,0.0,43.23,,2,169,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 2,3,120.32,0.0,0.0,43.57,,2,171,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 3,3,103.06,0.0,0.0,43.27,,2,168,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 4,3,127.51,0.0,0.0,41.74,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 5,3,129.07,0.0,0.0,41.47,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 6,3,126.97,0.0,0.0,42.53,187.29,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,1.28,0.5376,0.5349,1.685,1.33,0.5206,0.5173,1.7361
Client 1,4,109.11,0.0,0.0,43.33,,2,169,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 2,4,124.2,0.0,0.0,42.24,,2,171,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 3,4,105.12,0.0,0.0,42.8,,2,169,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 4,4,126.78,0.0,0.0,43.51,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 5,4,131.42,0.0,0.0,43.01,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 6,4,126.28,0.0,0.0,42.21,191.73,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,1.15,0.5864,0.5839,1.4771,1.22,0.5627,0.5596,1.5521
Client 1,5,108.36,0.0,0.0,44.13,,2,169,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 2,5,121.5,0.0,0.0,43.58,,2,172,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 3,5,103.62,0.0,0.0,44.01,,2,169,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 4,5,130.3,0.0,0.0,44.87,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 5,5,128.22,0.0,0.0,44.59,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 6,5,130.04,0.0,0.0,43.87,192.08,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,1.06,0.6211,0.6187,1.337,1.14,0.5938,0.5908,1.4361
Client 1,6,108.27,0.0,0.0,41.27,,2,169,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 2,6,107.99,0.0,0.0,43.58,,2,169,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 3,6,102.93,0.0,0.0,42.83,,2,169,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 4,6,127.96,0.0,0.0,47.47,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 5,6,128.76,0.0,0.0,41.16,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 6,6,131.67,0.0,0.0,45.37,193.96,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,1.0,0.6469,0.6459,1.2356,1.1,0.6091,0.6076,1.3778
Client 1,7,106.32,0.0,0.0,42.82,,2,169,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 2,7,105.4,0.0,0.0,41.64,,2,169,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 3,7,104.09,0.0,0.0,41.7,,2,169,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 4,7,124.2,0.0,0.0,43.13,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 5,7,127.13,0.0,0.0,42.0,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 6,7,122.73,0.0,0.0,45.17,184.71,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,0.96,0.6609,0.6582,1.2019,1.08,0.6197,0.6161,1.3544
Client 1,8,104.97,0.0,0.0,41.66,,2,170,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 2,8,110.23,0.0,0.0,44.8,,2,170,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 3,8,105.47,0.0,0.0,42.24,,2,169,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 4,8,126.97,0.0,0.0,41.94,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 5,8,127.38,0.0,0.0,42.51,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 6,8,135.68,0.0,0.0,45.16,197.45,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,0.9,0.6855,0.6827,1.1034,1.03,0.6364,0.6328,1.2917
Client 1,9,121.29,0.0,0.0,46.16,,2,171,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 2,9,122.93,0.0,0.0,44.43,,2,172,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 3,9,109.37,0.0,0.0,44.0,,2,170,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 4,9,122.55,0.0,0.0,41.19,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 5,9,124.84,0.0,0.0,42.31,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 6,9,133.92,0.0,0.0,48.26,197.77,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,0.9,0.6959,0.6937,1.0624,1.06,0.6369,0.6336,1.2868
Client 1,10,105.62,0.0,0.0,41.39,,2,169,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 2,10,122.59,0.0,0.0,41.27,,2,171,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 3,10,102.44,0.0,0.0,42.35,,2,168,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 4,10,123.22,0.0,0.0,42.67,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 5,10,127.04,0.0,0.0,43.96,,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,,,,,,,,
Client 6,10,131.64,0.0,0.0,46.16,195.86,1,100,21,shufflenet_v2_x0_5,IID,CIFAR-10,1.29,0.7107,0.7105,0.9932,1.42,0.6474,0.6469,1.2251
