Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,5.79,0.0,0.0,2.31,,2,132,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,1,6.0,0.0,0.0,2.47,,2,132,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,1,6.1,0.0,0.0,2.33,,2,132,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,1,6.35,0.0,0.0,2.59,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,1,6.59,0.0,0.0,2.52,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 28,1,6.22,0.0,0.0,2.47,28.5,1,100,19,TextMLP,IID,AGNEWS,0.62,0.7714,0.7694,0.3523,0.63,0.7634,0.7612,0.3612
Client 23,2,6.21,0.0,0.0,2.8,,2,188,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,2,6.22,0.0,0.0,2.37,,2,187,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,2,6.11,0.0,0.0,2.26,,2,189,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,2,6.55,0.0,0.0,2.51,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,2,6.6,0.0,0.0,2.7,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 28,2,6.3,0.0,0.0,2.57,10.4,1,100,19,TextMLP,IID,AGNEWS,0.52,0.8118,0.8107,0.2986,0.53,0.8035,0.8021,0.3083
Client 23,3,6.53,0.0,0.0,2.59,,2,188,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,3,6.32,0.0,0.0,2.27,,2,189,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,3,7.08,0.0,0.0,2.4,,2,187,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,3,6.36,0.0,0.0,2.45,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,3,6.41,0.0,0.0,2.45,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 28,3,6.62,0.0,0.0,2.43,10.53,1,100,19,TextMLP,IID,AGNEWS,0.48,0.8264,0.8253,0.2767,0.5,0.8204,0.8193,0.2837
Client 23,4,6.13,0.0,0.0,2.3,,2,185,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,4,6.05,0.0,0.0,2.33,,2,187,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,4,5.98,0.0,0.0,2.19,,2,186,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,4,6.38,0.0,0.0,2.42,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,4,6.11,0.0,0.0,2.43,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 28,4,6.4,0.0,0.0,2.43,10.11,1,100,19,TextMLP,IID,AGNEWS,0.47,0.8302,0.8291,0.2696,0.48,0.8253,0.8241,0.2753
Client 23,5,5.98,0.0,0.0,2.3,,2,188,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,5,5.74,0.0,0.0,2.26,,2,188,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,5,6.59,0.0,0.0,2.33,,2,188,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,5,5.82,0.0,0.0,2.35,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,5,6.19,0.0,0.0,2.51,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 28,5,6.24,0.0,0.0,2.48,9.89,1,100,19,TextMLP,IID,AGNEWS,0.46,0.8307,0.8302,0.2674,0.48,0.8239,0.8235,0.2761
Client 23,6,6.09,0.0,0.0,2.21,,2,188,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,6,6.08,0.0,0.0,2.21,,2,186,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,6,6.28,0.0,0.0,2.34,,2,188,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,6,6.09,0.0,0.0,2.36,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,6,6.0,0.0,0.0,2.35,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 28,6,6.39,0.0,0.0,2.47,9.83,1,100,19,TextMLP,IID,AGNEWS,0.46,0.8315,0.8311,0.2686,0.48,0.8244,0.824,0.278
Client 23,7,6.96,0.0,0.0,2.35,,2,185,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,7,5.82,0.0,0.0,2.26,,2,187,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,7,6.48,0.0,0.0,2.37,,2,188,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,7,5.94,0.0,0.0,2.38,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,7,6.0,0.0,0.0,2.35,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 28,7,6.21,0.0,0.0,2.46,10.65,1,100,19,TextMLP,IID,AGNEWS,0.45,0.8355,0.8352,0.2653,0.47,0.8266,0.8262,0.277
Client 23,8,6.48,0.0,0.0,2.55,,2,189,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,8,6.04,0.0,0.0,2.81,,2,189,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,8,6.17,0.0,0.0,2.55,,2,188,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,8,6.16,0.0,0.0,2.81,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,8,6.74,0.0,0.0,2.9,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 28,8,6.29,0.0,0.0,2.61,10.72,1,100,19,TextMLP,IID,AGNEWS,0.44,0.8385,0.8377,0.257,0.46,0.8307,0.8298,0.2673
Client 23,9,10.07,0.0,0.0,2.74,,2,186,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,9,9.97,0.0,0.0,3.27,,2,190,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,9,7.57,0.0,0.0,2.5,,2,189,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,9,10.07,0.0,0.0,3.76,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,9,10.43,0.0,0.0,3.83,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 28,9,8.81,0.0,0.0,2.73,15.12,1,100,19,TextMLP,IID,AGNEWS,0.44,0.8379,0.8378,0.255,0.46,0.8306,0.8306,0.2652
Client 23,10,9.58,0.0,0.0,2.58,,2,188,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,10,9.61,0.0,0.0,2.53,,2,189,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,10,7.78,0.0,0.0,2.52,,2,188,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,10,10.09,0.0,0.0,2.79,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,10,10.34,0.0,0.0,2.75,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 28,10,8.34,0.0,0.0,2.61,13.99,1,100,19,TextMLP,IID,AGNEWS,0.44,0.8387,0.8379,0.2581,0.46,0.8309,0.83,0.2694
Client 23,11,7.81,0.0,0.0,2.53,,2,189,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,11,8.03,0.0,0.0,2.56,,2,188,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,11,7.98,0.0,0.0,2.56,,2,188,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,11,8.06,0.0,0.0,2.59,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,11,8.54,0.0,0.0,2.68,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 28,11,8.07,0.0,0.0,2.59,12.61,1,100,19,TextMLP,IID,AGNEWS,0.44,0.8393,0.8388,0.2558,0.46,0.8307,0.8302,0.2683
Client 23,12,6.17,0.0,0.0,2.38,,2,189,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,12,5.84,0.0,0.0,2.22,,2,185,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,12,5.92,0.0,0.0,2.25,,2,185,19,TextMLP,IID,AGNEWS,,,,,,,,
