Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,26.22,0.0,0.0,24.09,,2,122,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,1,23.41,0.0,0.0,23.34,,2,123,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,1,25.54,0.0,0.0,25.2,,2,121,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,1,23.25,0.0,0.0,23.1,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,1,23.52,0.0,0.0,24.22,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,1,24.95,0.0,0.0,25.49,71.58,1,100,21,CNN 16k,IID,CIFAR-10,1.62,0.4145,0.4026,2.1378,1.62,0.4144,0.4018,2.1514
Client 23,2,25.21,0.0,0.0,24.88,,2,123,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,2,23.51,0.0,0.0,24.34,,2,123,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,2,24.15,0.0,0.0,24.54,,2,123,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,2,24.8,0.0,0.0,24.86,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,2,25.27,0.0,0.0,24.6,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,2,24.16,0.0,0.0,24.08,67.0,1,100,21,CNN 16k,IID,CIFAR-10,1.49,0.4572,0.4495,2.0007,1.51,0.4534,0.4462,2.0204
Client 23,3,23.9,0.0,0.0,24.63,,2,123,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,3,22.32,0.0,0.0,24.1,,2,123,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,3,24.63,0.0,0.0,24.41,,2,123,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,3,23.1,0.0,0.0,23.94,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,3,23.28,0.0,0.0,24.81,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,3,23.06,0.0,0.0,23.74,64.69,1,100,21,CNN 16k,IID,CIFAR-10,1.42,0.4849,0.4746,1.9004,1.45,0.4759,0.4654,1.9267
Client 23,4,24.24,0.0,0.0,26.24,,2,122,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,4,23.41,0.0,0.0,24.97,,2,123,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,4,24.62,0.0,0.0,24.61,,2,123,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,4,23.7,0.0,0.0,23.8,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,4,24.44,0.0,0.0,24.49,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,4,23.98,0.0,0.0,24.73,67.65,1,100,21,CNN 16k,IID,CIFAR-10,1.34,0.5188,0.5133,1.773,1.37,0.5053,0.4992,1.8165
