Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,25.96,0.0,0.0,43.7,,2,99,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,1,23.81,0.0,0.0,48.43,,2,90,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,1,24.33,0.0,0.0,64.88,,2,77,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,1,25.2,0.0,0.0,44.76,,1,78,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,1,28.28,0.0,0.0,51.23,,1,77,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,1,25.16,0.0,0.0,51.93,107.53,1,72,21,CNN 16k,IID,CIFAR-10,1.58,0.4247,0.4111,2.1547,1.59,0.4205,0.4066,2.1615
Client 23,2,25.82,0.0,0.0,39.79,,2,102,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,2,24.09,0.0,0.0,68.02,,2,73,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,2,25.79,0.0,0.0,73.66,,2,71,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,2,24.3,0.0,0.0,40.52,,1,79,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,2,24.78,0.0,0.0,35.02,,1,90,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,2,27.53,0.0,0.0,76.04,137.66,1,60,21,CNN 16k,IID,CIFAR-10,1.48,0.4616,0.4516,2.0009,1.49,0.4562,0.4457,2.0203
Client 23,3,25.38,0.0,0.0,55.27,,2,85,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,3,23.86,0.0,0.0,56.9,,2,81,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,3,24.43,0.0,0.0,61.87,,2,79,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,3,26.12,0.0,0.0,56.31,,1,68,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,3,28.69,0.0,0.0,76.09,,1,61,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,3,26.39,0.0,0.0,40.89,125.36,1,85,21,CNN 16k,IID,CIFAR-10,1.41,0.4913,0.4813,1.8851,1.43,0.4822,0.4718,1.9156
Client 23,4,25.08,0.0,0.0,59.54,,2,81,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,4,24.07,0.0,0.0,39.72,,2,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,4,24.42,0.0,0.0,61.96,,2,78,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,4,24.64,0.0,0.0,33.97,,1,88,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,4,25.63,0.0,0.0,64.48,,1,64,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,4,25.56,0.0,0.0,74.67,116.48,1,58,21,CNN 16k,IID,CIFAR-10,1.36,0.5096,0.5037,1.7505,1.39,0.4993,0.4924,1.7862
Client 23,5,24.06,0.0,0.0,54.78,,2,85,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,5,25.42,0.0,0.0,52.92,,2,87,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,5,24.85,0.0,0.0,44.42,,2,95,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,5,26.63,0.0,0.0,42.78,,1,80,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,5,27.38,0.0,0.0,58.03,,1,69,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,5,26.16,0.0,0.0,36.4,102.47,1,86,21,CNN 16k,IID,CIFAR-10,1.31,0.5278,0.5215,1.7153,1.35,0.514,0.5069,1.7566
Client 23,6,25.37,0.0,0.0,36.46,,2,104,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,6,24.0,0.0,0.0,30.08,,2,113,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,6,24.61,0.0,0.0,72.0,,2,72,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,6,25.0,0.0,0.0,49.28,,1,72,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,6,26.25,0.0,0.0,44.64,,1,79,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,6,26.21,0.0,0.0,40.39,112.98,1,82,21,CNN 16k,IID,CIFAR-10,1.28,0.5411,0.5375,1.6591,1.32,0.5264,0.5219,1.7102
Client 23,7,24.57,0.0,0.0,31.77,,2,111,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,7,25.29,0.0,0.0,56.91,,2,83,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,7,23.71,0.0,0.0,34.43,,2,106,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,7,25.84,0.0,0.0,29.88,,1,93,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,7,26.82,0.0,0.0,46.8,,1,78,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,7,27.12,0.0,0.0,58.14,103.71,1,70,21,CNN 16k,IID,CIFAR-10,1.25,0.5505,0.5454,1.6289,1.31,0.5317,0.5261,1.6887
Client 23,8,24.42,0.0,0.0,51.92,,2,87,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,8,24.12,0.0,0.0,34.42,,2,107,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,8,24.62,0.0,0.0,32.49,,2,109,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,8,25.26,0.0,0.0,72.23,,1,58,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,8,24.97,0.0,0.0,69.04,,1,61,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,8,25.29,0.0,0.0,27.48,114.32,1,99,21,CNN 16k,IID,CIFAR-10,1.23,0.56,0.5579,1.5628,1.3,0.5365,0.5338,1.6317
Client 23,9,26.86,0.0,0.0,37.86,,2,105,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,9,24.37,0.0,0.0,61.08,,2,80,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,9,23.88,0.0,0.0,56.38,,2,82,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,9,25.31,0.0,0.0,53.98,,1,71,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,9,25.64,0.0,0.0,78.73,,1,60,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,9,28.09,0.0,0.0,44.84,120.78,1,81,21,CNN 16k,IID,CIFAR-10,1.21,0.5684,0.5627,1.5583,1.29,0.5419,0.5358,1.6434
