Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,23.54,0.0,0.0,30.48,,2,112,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,1,22.90,0.0,0.0,42.48,,2,92,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,1,23.04,0.0,0.0,69.46,,2,71,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,1,25.38,0.0,0.0,61.15,,1,67,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,1,24.40,0.0,0.0,28.7,,1,97,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,1,24.85,0.0,0.0,38.72,123.60,1,84,21,CNN 16k,IID,CIFAR-10,1.60,0.4252,0.4086,2.1124,1.58,0.4161,0.4036,2.1487
Client 23,2,24.43,0.0,0.0,51.51,,2,90,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,2,24.13,0.0,0.0,28.39,,2,119,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,2,24.42,0.0,0.0,48.63,,2,91,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,2,25.71,0.0,0.0,67.72,,1,63,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,2,26.06,0.0,0.0,73.79,,1,57,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,2,27.41,0.0,0.0,48.90,132.70,1,75,21,CNN 16k,IID,CIFAR-10,1.5,0.4503,0.4454,2.0405,1.53,0.4456,0.4338,2.0307
Client 23,3,24.75,0.0,0.0,69.60,,2,78,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,3,24.15,0.0,0.0,72.11,,2,69,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,3,24.11,0.0,0.0,51.93,,2,83,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,3,26.53,0.0,0.0,41.84,,1,81,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,3,26.66,0.0,0.0,69.11,,1,60,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,3,27.19,0.0,0.0,27.37,130.11,1,97,21,CNN 16k,IID,CIFAR-10,1.41,0.484,0.4785,1.9062,1.44,0.4789,0.4707,1.9161
Client 23,4,24.07,0.0,0.0,56.38,,2,81,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,4,24.73,0.0,0.0,54.83,,2,86,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,4,23.57,0.0,0.0,35.58,,2,98,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,4,25.9,0.0,0.0,54.78,,1,71,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,4,26.01,0.0,0.0,28.84,,1,96,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,4,27.13,0.0,0.0,69.95,130.11,1,62,21,CNN 16k,IID,CIFAR-10,1.37,0.4997,0.4971,1.8785,1.4,0.4842,0.473,1.8805
Client 23,5,23.68,0.0,0.0,69.20,,2,70,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,5,24.05,0.0,0.0,45.71,,2,90,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,5,23.56,0.0,0.0,27.75,,2,114,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,5,25.58,0.0,0.0,34.00,,1,86,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,5,26.14,0.0,0.0,71.82,,1,60,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,5,26.10,0.0,0.0,70.04,130.10,1,56,21,CNN 16k,IID,CIFAR-10,1.34,0.5140,0.5240,1.7869,1.35,0.5043,0.496,1.8147
Client 23,6,23.92,0.0,0.0,32.5,,2,101,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,6,22.15,0.0,0.0,53.30,,2,81,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,6,22.73,0.0,0.0,26.77,,2,116,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,6,24.77,0.0,0.0,29.56,,1,91,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,6,23.96,0.0,0.0,71.38,,1,54,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,6,25.63,0.0,0.0,74.07,134.29,1,59,21,CNN 16k,IID,CIFAR-10,1.30,0.5305,0.5196,1.7247,1.34,0.5202,0.5132,1.7661
Client 23,7,24.16,0.0,0.0,69.32,,2,77,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,7,25.06,0.0,0.0,37.78,,2,108,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,7,24.26,0.0,0.0,33.21,,2,107,21,CNN 16k,IID,CIFAR-10,,,,,,,,
