Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,5.43,0.0,0.0,2.04,,2,132,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 2,1,5.11,0.0,0.0,1.99,,2,132,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 3,1,5.33,0.0,0.0,1.96,25.14,2,130,19,TextMLP,IID,AGNEWS,0.64,0.763,0.7608,0.366,0.65,0.7578,0.7557,0.3726
Client 1,2,5.54,0.0,0.0,2.05,,2,184,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 2,2,5.43,0.0,0.0,2.0,,2,185,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 3,2,5.43,0.0,0.0,2.01,,2,184,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 4,2,5.91,0.0,0.0,2.49,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 5,2,5.6,0.0,0.0,2.13,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 6,2,5.77,0.0,0.0,2.2,10.34,1,100,19,TextMLP,IID,AGNEWS,0.52,0.8088,0.8082,0.2988,0.54,0.8004,0.7997,0.3125
Client 1,3,5.73,0.0,0.0,2.14,,2,186,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 2,3,5.08,0.0,0.0,1.91,,2,187,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 3,3,5.52,0.0,0.0,2.08,9.8,2,188,19,TextMLP,IID,AGNEWS,0.48,0.8261,0.8255,0.278,0.5,0.8166,0.816,0.2912
Client 1,4,5.38,0.0,0.0,2.03,,2,187,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 2,4,5.37,0.0,0.0,2.09,,2,189,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 3,4,5.63,0.0,0.0,2.14,,2,187,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 4,4,5.67,0.0,0.0,2.25,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 5,4,6.56,0.0,0.0,2.54,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 6,4,5.67,0.0,0.0,2.24,10.75,1,100,19,TextMLP,IID,AGNEWS,0.46,0.8317,0.831,0.2661,0.48,0.8225,0.8217,0.2794
Client 1,5,5.39,0.0,0.0,2.09,,2,187,19,TextMLP,IID,AGNEWS,,,,,,,,
