Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,11.09,0.0,47.93,8.63,,2,133,51,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,1,11.26,0.0,47.06,8.72,,2,133,49,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,1,10.93,0.0,40.66,8.58,,2,130,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,1,11.84,0.0,42.77,8.59,114.72,2,132,49,CNN 64k,non-IID,CIFAR10,1.63,0.3414,0.3084,2.3801,2.74,0.3501,0.3022,2.366
Client 1,2,10.75,0.0,0.0,8.48,,2,183,51,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,2,11.75,0.0,0.0,10.1,,2,183,49,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,2,11.83,0.0,0.0,8.6,,2,185,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,2,11.4,0.0,0.0,8.93,22.24,2,183,49,CNN 64k,non-IID,CIFAR10,1.5,0.3844,0.3694,2.4479,2.53,0.4301,0.3927,2.0124
Client 1,3,10.09,0.0,0.0,8.63,,2,181,51,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,3,11.05,0.0,0.0,8.88,,2,183,49,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,3,11.06,0.0,0.0,9.6,,2,181,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,3,10.24,0.0,0.0,8.21,21.02,2,183,49,CNN 64k,non-IID,CIFAR10,1.45,0.4075,0.4007,2.1086,2.78,0.4502,0.4182,1.9369
Client 1,4,10.41,0.0,0.0,8.66,,2,183,51,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,4,11.47,0.0,0.0,9.62,,2,182,49,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,4,10.75,0.0,0.0,9.41,,2,181,45,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,4,11.39,0.0,0.0,8.63,21.55,2,183,49,CNN 64k,non-IID,CIFAR10,1.39,0.4266,0.4187,2.3146,2.92,0.4588,0.4276,1.9061
