Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,11.18,0.05,37.79,8.52,,2,130,44,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,1,11.28,0.05,37.49,9.39,,2,128,40,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,1,10.86,0.05,38.05,8.65,,2,128,43,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,1,11.07,0.05,31.92,8.89,,2,128,40,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,1,14.57,0.05,63.21,10.52,,1,100,50,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,1,14.06,0.05,45.07,9.11,139.98,1,100,43,CNN 64k,non-IID,CIFAR10,1.33,0.4549,0.4094,2.0755,2.66,0.3823,0.3254,2.2239
Client 23,2,9.94,0.05,0.0,8.13,,2,183,44,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,2,9.99,0.05,0.0,8.28,,2,183,40,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,2,10.42,0.05,0.0,8.75,,2,183,43,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,2,10.69,0.05,0.0,9.31,,2,182,40,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,2,14.45,0.05,0.0,10.95,,1,100,50,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,2,14.23,0.05,0.0,10.4,26.05,1,100,43,CNN 64k,non-IID,CIFAR10,1.22,0.4925,0.4607,1.9719,2.4,0.4497,0.4048,2.0155
Client 23,3,10.33,0.05,0.0,8.53,,2,183,44,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,3,10.23,0.05,0.0,8.52,,2,183,40,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,3,10.64,0.05,0.0,8.46,,2,183,43,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,3,11.3,0.05,0.0,8.98,,2,184,40,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,3,14.0,0.05,0.0,10.36,,1,100,50,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,3,14.25,0.05,0.0,10.02,24.99,1,100,43,CNN 64k,non-IID,CIFAR10,1.13,0.531,0.5116,1.8422,2.18,0.4922,0.4516,1.8415
Client 23,4,10.14,0.05,0.0,8.58,,2,183,44,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,4,10.3,0.05,0.0,8.55,,2,183,40,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,4,11.13,0.05,0.0,8.85,,2,183,43,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,4,10.77,0.05,0.0,8.68,,2,184,40,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,4,14.41,0.05,0.0,10.53,,1,100,50,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,4,13.99,0.05,0.0,10.55,25.51,1,100,43,CNN 64k,non-IID,CIFAR10,1.07,0.5519,0.5305,1.7209,2.18,0.5077,0.4699,1.7929
Client 23,5,10.46,0.05,0.0,8.36,,2,183,44,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,5,10.65,0.05,0.0,8.73,,2,182,40,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,5,11.2,0.05,0.0,8.55,,2,182,43,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,5,10.33,0.05,0.0,8.32,,2,183,40,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,5,14.97,0.05,0.0,10.25,,1,100,50,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,5,14.53,0.05,0.0,10.1,25.83,1,100,43,CNN 64k,non-IID,CIFAR10,1.04,0.5612,0.5388,1.7249,2.12,0.5303,0.4945,1.6647
Client 23,6,10.85,0.05,0.0,8.67,,2,182,44,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,6,10.37,0.05,0.0,9.0,,2,181,40,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,6,10.44,0.05,0.0,8.73,,2,182,43,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,6,10.03,0.05,0.0,8.6,,2,182,40,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,6,14.56,0.05,0.0,10.89,,1,100,50,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,6,15.01,0.05,0.0,10.75,26.28,1,100,43,CNN 64k,non-IID,CIFAR10,1.0,0.5776,0.5555,1.4902,2.15,0.5338,0.5006,1.6247
