Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,28.11,27.33,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,1,27.1,26.78,,2,140,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,1,29.14,28.1,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,1,28.9,27.26,59.56,2,138,41,CNN 16k,non-IID,CIFAR-10,1.19,0.585,0.3393,1.3082,2.95,0.317,0.2242,2.5983
Client 1,2,28.8,26.53,,2,140,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,2,28.04,27.97,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,2,28.1,26.68,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,2,30.02,26.38,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,2,30.63,31.05,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,2,31.36,27.71,61.69,1,100,41,CNN 16k,non-IID,CIFAR-10,1.12,0.608,0.3881,1.2655,2.69,0.3449,0.273,2.4468
Client 1,3,27.18,26.59,,2,140,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,3,27.67,26.73,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,3,27.77,28.84,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,3,28.47,26.45,56.63,2,139,41,CNN 16k,non-IID,CIFAR-10,1.07,0.6257,0.4403,1.1654,2.54,0.3743,0.3123,2.3866
Client 1,4,28.79,26.3,,2,140,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,4,31.84,27.7,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,4,28.95,26.95,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,4,28.75,27.2,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,4,28.81,26.88,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,4,31.92,28.93,60.87,1,100,41,CNN 16k,non-IID,CIFAR-10,1.0,0.65,0.4784,1.1297,2.37,0.3979,0.3478,2.2313
Client 1,5,29.62,26.83,,2,140,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,5,28.55,26.98,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,5,29.18,26.72,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,5,28.15,26.7,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,5,30.15,26.94,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,5,30.92,28.38,59.31,1,100,41,CNN 16k,non-IID,CIFAR-10,0.96,0.6629,0.501,1.0737,2.44,0.4135,0.3647,2.1701
Client 1,6,27.95,27.16,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,6,28.8,27.48,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,6,29.02,26.02,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,6,28.35,26.65,56.31,2,139,41,CNN 16k,non-IID,CIFAR-10,0.91,0.6792,0.5244,1.0052,2.36,0.4315,0.3789,2.1305
Client 1,7,30.43,26.82,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,7,27.68,26.88,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,7,28.14,27.82,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,7,27.98,27.12,57.26,2,139,41,CNN 16k,non-IID,CIFAR-10,0.9,0.6839,0.54,0.9665,2.39,0.4398,0.3927,2.1084
Client 1,8,31.39,27.03,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,8,27.87,26.77,,2,140,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,8,29.38,27.77,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,8,29.0,26.79,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,8,29.73,27.37,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,8,31.49,28.63,60.14,1,100,41,CNN 16k,non-IID,CIFAR-10,0.87,0.6918,0.5501,0.9849,2.32,0.4329,0.391,2.1265
Client 1,9,28.58,27.65,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,9,27.89,26.4,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,9,28.5,25.94,,2,140,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,9,29.57,27.21,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,9,29.58,27.06,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
