Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,6.3,0.22,0.0,2.63,,2,131,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,1,6.0,0.22,0.0,2.34,,2,131,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,1,5.94,0.22,0.0,2.32,,2,132,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,1,6.01,0.22,0.0,2.35,,2,131,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,1,6.05,0.22,0.0,2.43,,1,100,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,1,6.13,0.22,0.0,2.54,30.28,1,100,19,TextMLP,non-IID,AGNEWS,0.44,0.8304,0.6905,0.2386,3.13,0.496,0.4109,0.8362
Client 1,2,7.27,0.14,33.58,2.24,,2,184,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,2,8.36,0.14,29.68,2.42,,2,185,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,2,7.45,0.14,30.02,2.31,,2,184,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,2,7.75,0.14,33.94,2.35,,2,180,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,2,6.52,0.14,47.33,2.29,,1,100,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,2,7.54,0.14,48.05,2.65,59.34,1,100,26,TextMLP,non-IID,AGNEWS,0.46,0.7856,0.7788,0.2615,3.81,0.6355,0.549,0.5783
Client 1,3,7.24,0.14,0.0,2.34,,2,194,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,3,6.72,0.14,0.0,2.39,,2,195,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,3,6.98,0.14,0.0,2.31,,2,195,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,3,8.12,0.14,0.0,2.2,,2,195,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,3,7.31,0.14,0.0,2.38,,1,100,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,3,7.44,0.14,0.0,2.5,11.05,1,100,26,TextMLP,non-IID,AGNEWS,0.43,0.799,0.794,0.2439,4.69,0.6535,0.5653,0.5312
Client 1,4,7.32,0.14,0.0,2.27,,2,195,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,4,7.18,0.14,0.0,2.34,,2,195,27,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,4,7.54,0.14,0.0,2.45,,2,195,28,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,4,7.84,0.14,0.0,2.53,,2,195,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,4,7.36,0.14,0.0,2.36,,1,100,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,4,7.42,0.14,0.0,2.41,11.05,1,100,26,TextMLP,non-IID,AGNEWS,0.41,0.8017,0.7964,0.2394,5.24,0.655,0.5655,0.5376
