Client ID,FL Round,Training Time,JSD,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,61.99,0.12,56.35,,2,66,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,1,122.25,0.2,67.49,,2,66,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,1,104.24,0.16,84.74,,2,68,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,1,110.24,0.12,85.45,,2,69,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,1,26.35,0.13,27.61,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,1,25.65,0.18,25.54,317.69,1,100,21,CNN 16k,non-IID,CIFAR-10,1.28,0.5427,0.3391,1.6018,2.9,0.314,0.2311,2.6826
Client 23,2,7.69,0.05,26.08,,2,75,36,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,2,57.47,0.05,19.28,,2,75,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,2,45.91,0.05,7.46,,2,73,38,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,2,64.42,0.05,7.57,,2,75,38,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,2,10.35,0.05,9.22,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,2,10.78,0.05,9.33,322.51,1,100,40,CNN 16k,non-IID,CIFAR-10,1.35,0.4482,0.405,2.0336,2.48,0.3561,0.289,2.4621
Client 23,3,55.51,0.05,22.25,,2,73,36,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,3,78.55,0.05,6.99,,2,85,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,3,52.49,0.05,20.27,,2,68,38,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,3,72.33,0.05,7.72,,2,85,38,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,3,10.24,0.05,8.96,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,3,10.28,0.05,9.25,86.21,1,100,40,CNN 16k,non-IID,CIFAR-10,1.28,0.4764,0.4478,1.9215,2.39,0.3863,0.3234,2.3797
Client 23,4,53.45,0.05,39.32,,2,61,36,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,4,98.6,0.05,7.4,,2,79,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,4,99.27,0.05,7.75,,2,80,38,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,4,100.15,0.05,7.2,,2,72,38,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,4,10.23,0.05,8.85,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,4,10.25,0.05,8.95,107.9,1,100,40,CNN 16k,non-IID,CIFAR-10,1.24,0.4938,0.4554,1.8964,2.35,0.4084,0.3566,2.2392
