Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,22.75,0.46,0.0,25.02,,2,113,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,1,23.13,0.1,0.0,24.11,,2,114,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,1,23.50,0.11,0.0,25.03,,2,113,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,1,21.91,0.18,0.0,24.19,,2,113,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,1,23.24,0.21,0.0,23.73,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,1,25.47,0.08,0.0,27.09,133.67,1,99,21,CNN 16k,non-IID,CIFAR-10,1.2,0.5720,0.3254,1.4070,3.12,0.317,0.2300,2.5507
Client 23,2,23.5,0.46,0.0,23.46,,2,122,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,2,24.69,0.1,0.0,24.82,,2,123,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,2,26.17,0.11,0.0,25.72,,2,123,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,2,24.35,0.18,0.0,26.19,,2,122,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,2,25.77,0.21,0.0,24.07,,1,99,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,2,25.23,0.08,0.0,23.82,84.69,1,99,21,CNN 16k,non-IID,CIFAR-10,1.08,0.6245,0.3960,1.2382,2.72,0.3467,0.2730,2.428
Client 23,3,22.61,0.46,0.0,22.89,,2,125,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,3,23.35,0.1,0.0,24.10,,2,125,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,3,24.53,0.11,0.0,25.17,,2,121,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
