Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,23.53,0.09,0.0,24.02,,2,114,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,1,22.02,0.17,0.0,23.69,,2,114,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,1,23.17,0.21,0.0,22.08,,2,114,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,1,23.45,0.21,0.0,22.43,125.97,2,115,21,CNN 16k,non-IID,CIFAR10,1.32,0.5212,0.3255,1.547,3.1,0.3005,0.2186,2.5838
Client 23,2,23.53,0.09,0.0,23.45,,2,124,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,2,22.53,0.17,0.0,23.89,,2,124,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,2,22.75,0.21,0.0,22.22,,2,124,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,2,22.69,0.21,0.0,23.49,77.73,2,124,21,CNN 16k,non-IID,CIFAR10,1.2,0.5673,0.3736,1.3982,2.98,0.3344,0.2549,2.4472
Client 23,3,8.75,0.05,26.71,7.27,,2,148,37,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,3,7.93,0.05,32.88,7.75,,2,149,42,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,3,7.62,0.05,41.78,7.33,,2,150,47,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,3,8.21,0.05,38.92,7.26,,2,152,46,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 27,3,9.64,0.05,42.85,8.86,,1,100,42,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 28,3,10.94,0.05,37.11,8.88,61.77,1,100,37,CNN 16k,non-IID,CIFAR10,1.33,0.4537,0.4188,1.9561,2.66,0.3724,0.3122,2.3462
Client 23,4,7.95,0.05,0.0,6.89,,2,181,37,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,4,7.74,0.05,0.0,7.32,,2,179,42,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,4,8.35,0.05,0.0,7.35,,2,180,47,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,4,7.98,0.05,0.0,6.85,16.33,2,180,46,CNN 16k,non-IID,CIFAR10,1.25,0.4788,0.4304,1.794,2.76,0.3895,0.3232,2.3295
Client 23,5,8.6,0.05,0.0,7.55,,2,173,44,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,5,8.35,0.05,0.0,7.58,,2,172,44,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,5,8.87,0.05,0.0,7.63,,2,175,44,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,5,8.55,0.05,0.0,7.72,,2,173,44,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 27,5,11.86,0.05,0.0,9.67,,1,100,44,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 28,5,10.72,0.05,0.0,8.89,23.64,1,100,44,CNN 16k,non-IID,CIFAR10,1.22,0.495,0.472,1.9041,2.59,0.423,0.377,2.1246
Client 23,6,7.82,0.05,0.0,7.08,,2,173,44,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,6,7.67,0.05,0.0,7.26,,2,172,44,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,6,8.95,0.05,0.0,8.16,,2,172,44,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,6,8.44,0.05,0.0,7.6,19.04,2,174,44,CNN 16k,non-IID,CIFAR10,1.2,0.5005,0.464,1.7816,2.7,0.4148,0.3619,2.1792
Client 23,7,8.35,0.05,0.0,7.37,,2,181,44,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,7,7.96,0.05,0.0,7.28,,2,180,44,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,7,8.87,0.05,0.0,7.66,,2,182,44,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,7,8.66,0.05,0.0,7.66,,2,180,44,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 27,7,10.04,0.05,0.0,8.43,,1,100,44,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 28,7,10.23,0.05,0.0,8.25,18.66,1,100,44,CNN 16k,non-IID,CIFAR10,1.17,0.5143,0.4883,1.7579,2.57,0.4359,0.3903,2.1118
