Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,27.82,0.0,0.0,27.41,,2,117,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,1,27.96,0.0,0.0,27.21,,2,116,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,1,27.65,0.0,0.0,27.43,,2,116,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,1,27.34,0.0,0.0,26.75,,2,116,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,1,30.46,0.0,0.0,29.01,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,1,30.75,0.0,0.0,28.45,126.98,1,100,21,CNN 64k,non-IID,CIFAR10,1.17,0.5838,0.386,1.3715,2.71,0.3465,0.2729,2.5223
Client 1,2,27.41,0.0,0.0,25.89,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,2,28.88,0.0,0.0,28.03,,2,126,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,2,27.92,0.0,0.0,27.96,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,2,27.18,0.0,0.0,27.04,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,2,30.98,0.0,0.0,28.45,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,2,32.27,0.0,0.0,29.17,78.77,1,100,21,CNN 64k,non-IID,CIFAR10,1.01,0.6486,0.4979,1.1163,2.33,0.4249,0.3675,2.1694
Client 1,3,27.56,0.25,0.0,26.42,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,3,27.62,0.14,0.0,27.09,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,3,28.2,0.14,0.0,26.29,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,3,27.19,0.12,0.0,26.16,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,3,30.34,0.13,0.0,28.36,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,3,30.25,0.13,0.0,28.38,93.81,1,100,21,CNN 64k,non-IID,CIFAR10,0.89,0.6897,0.5738,1.0072,2.12,0.4788,0.433,1.9646
Client 1,4,28.22,0.0,0.0,26.12,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,4,27.03,0.0,0.0,26.76,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,4,27.79,0.0,0.0,26.76,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,4,28.47,0.0,0.0,27.62,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,4,29.46,0.0,0.0,27.97,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,4,30.21,0.0,0.0,28.08,75.28,1,100,21,CNN 64k,non-IID,CIFAR10,0.83,0.711,0.5945,0.9403,2.12,0.4887,0.4399,1.9282
Client 1,5,27.52,0.25,0.0,26.39,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,5,27.24,0.14,0.0,27.36,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,5,28.43,0.14,0.0,27.24,,2,126,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,5,28.27,0.12,0.0,26.92,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,5,30.9,0.13,0.0,28.28,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,5,30.45,0.13,0.0,28.32,93.97,1,100,21,CNN 64k,non-IID,CIFAR10,0.73,0.7473,0.6417,0.8018,2.06,0.5148,0.4693,1.8089
Client 1,6,27.9,0.0,0.0,26.74,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,6,28.13,0.0,0.0,27.47,,2,126,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,6,27.23,0.0,0.0,26.51,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,6,27.26,0.0,0.0,26.44,,2,126,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,6,31.3,0.0,0.0,28.08,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,6,30.17,0.0,0.0,27.62,77.48,1,100,21,CNN 64k,non-IID,CIFAR10,0.68,0.766,0.6676,0.7546,2.04,0.5209,0.4781,1.7862
Client 1,7,28.11,0.25,0.0,27.63,,2,126,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,7,27.36,0.14,0.0,26.64,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,7,26.83,0.14,0.0,26.87,,2,126,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,7,26.76,0.12,0.0,26.48,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,7,29.73,0.13,0.0,27.43,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,7,30.87,0.13,0.0,28.18,93.57,1,100,21,CNN 64k,non-IID,CIFAR10,0.63,0.7808,0.6874,0.7149,1.99,0.5348,0.4915,1.7338
Client 1,8,26.7,0.0,0.0,26.59,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,8,27.71,0.0,0.0,27.19,,2,126,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,8,28.34,0.0,0.0,27.1,,2,126,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
