Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,26.14,0.0,0.0,26.17,,2,118,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,1,26.22,0.0,0.0,25.29,,2,118,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,1,27.95,0.0,0.0,24.83,,2,118,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,1,26.32,0.0,0.0,26.29,,2,117,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,1,29.0,0.0,0.0,25.98,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,1,28.5,0.0,0.0,25.77,117.18,1,100,21,CNN 64k,non-IID,CIFAR10,1.13,0.6039,0.3777,1.3549,2.86,0.3434,0.2679,2.4316
Client 1,2,26.29,0.19,0.0,25.11,,2,129,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,2,25.66,0.2,0.0,24.86,,2,129,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,2,26.94,0.15,0.0,24.83,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,2,27.29,0.14,0.0,25.7,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,2,27.07,0.2,0.0,24.54,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,2,27.36,0.13,0.0,24.97,86.27,1,100,21,CNN 64k,non-IID,CIFAR10,0.99,0.6558,0.4781,1.1465,2.39,0.4099,0.3516,2.1922
Client 1,3,25.65,0.19,0.0,26.77,,2,129,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,3,27.3,0.2,0.0,27.01,,2,128,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,3,27.8,0.15,0.0,26.32,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,3,27.8,0.14,0.0,26.98,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,3,27.53,0.2,0.0,25.93,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,3,30.47,0.13,0.0,27.44,91.7,1,100,21,CNN 64k,non-IID,CIFAR10,0.87,0.699,0.5575,0.995,2.16,0.464,0.4216,1.9987
Client 1,4,26.96,0.19,0.0,26.03,,2,129,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,4,28.18,0.2,0.0,26.91,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,4,26.79,0.15,0.0,25.74,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,4,26.86,0.14,0.0,26.02,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,4,27.86,0.2,0.0,26.73,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,4,28.88,0.13,0.0,27.32,89.92,1,100,21,CNN 64k,non-IID,CIFAR10,0.76,0.7394,0.6074,0.8548,2.11,0.4927,0.448,1.8904
Client 1,5,26.28,0.19,0.0,25.08,,2,129,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,5,26.9,0.2,0.0,26.9,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,5,26.54,0.15,0.0,25.64,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,5,27.14,0.14,0.0,26.09,,2,126,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,5,27.84,0.2,0.0,25.69,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,5,29.12,0.13,0.0,27.56,89.35,1,100,21,CNN 64k,non-IID,CIFAR10,0.69,0.7644,0.6452,0.7603,2.12,0.5028,0.4643,1.8217
