Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,25.32,27.2,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,1,25.27,29.96,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,1,25.79,27.54,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,1,26.41,28.69,61.23,2,137,40,CNN 16k,non-IID,CIFAR-10,2603.01,0.4085,0.1978,2.4893,844.37,0.2262,0.1527,3.0784
Client 1,2,25.58,27.54,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,2,25.79,27.4,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,2,27.0,26.79,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,2,25.79,27.02,53.81,2,137,40,CNN 16k,non-IID,CIFAR-10,2268.98,0.4748,0.271,2.1828,767.03,0.2805,0.2195,2.8588
Client 1,3,26.14,27.5,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,3,25.69,27.99,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,3,25.36,28.3,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,3,26.3,27.46,53.78,2,137,40,CNN 16k,non-IID,CIFAR-10,2090.48,0.5225,0.3321,1.9889,705.37,0.3337,0.2778,2.625
Client 1,4,26.63,27.77,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,4,25.34,27.24,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,4,25.73,28.06,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,4,26.88,27.23,54.42,2,137,40,CNN 16k,non-IID,CIFAR-10,1979.86,0.5469,0.3689,1.8803,670.63,0.3644,0.3141,2.532
Client 1,5,25.69,29.84,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,5,24.71,26.55,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,5,25.09,25.59,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,5,24.93,26.47,55.55,2,137,40,CNN 16k,non-IID,CIFAR-10,1893.88,0.5669,0.3985,1.7695,653.31,0.3916,0.3436,2.3357
Client 1,6,28.59,28.95,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,6,24.75,26.79,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,6,26.24,27.97,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,6,26.28,29.43,57.56,2,136,40,CNN 16k,non-IID,CIFAR-10,1827.24,0.5807,0.4119,1.6888,634.37,0.3942,0.3482,2.3632
Client 1,7,25.35,28.66,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,7,24.9,25.99,,2,139,42,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,7,25.6,26.48,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,7,26.65,27.65,54.32,2,137,40,CNN 16k,non-IID,CIFAR-10,1797.31,0.5861,0.4152,1.6904,637.35,0.4023,0.3529,2.2934
Client 1,8,25.72,27.52,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,8,25.84,27.22,,2,138,42,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,8,25.07,27.31,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
