Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,24.75,0.2,0.0,24.76,,2,114,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,1,23.48,0.16,0.0,24.22,,2,114,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,1,23.94,0.12,0.0,25.44,,2,113,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,1,24.53,0.07,0.0,26.22,,2,113,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,1,26.05,0.21,0.0,25.58,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,1,26.68,0.08,0.0,25.3,133.23,1,100,21,CNN 16k,non-IID,CIFAR-10,1.32,0.5313,0.3372,1.4801,2.96,0.3146,0.2328,2.5489
Client 1,2,7.87,0.05,72.06,7.47,,2,166,43,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,2,8.48,0.05,80.21,7.34,,2,170,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,2,8.05,0.05,75.84,7.35,,2,172,36,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,2,8.7,0.05,49.56,7.98,,2,165,34,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,2,9.96,0.05,106.82,8.98,,1,100,43,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,2,11.46,0.05,65.81,9.46,126.25,1,100,36,CNN 16k,non-IID,CIFAR-10,1.37,0.4515,0.4184,1.9024,2.52,0.3679,0.3126,2.3278
Client 1,3,7.87,0.05,0.0,7.5,,2,180,43,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,3,8.01,0.05,0.0,7.52,,2,180,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,3,9.13,0.05,0.0,7.62,,2,182,36,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,3,8.42,0.05,0.0,7.49,,2,181,34,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,3,11.51,0.05,0.0,8.98,,1,100,43,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,3,12.0,0.05,0.0,8.88,21.16,1,100,36,CNN 16k,non-IID,CIFAR-10,1.31,0.4735,0.4384,2.0246,2.4,0.3957,0.3443,2.2252
Client 1,4,8.37,0.05,0.0,7.49,,2,181,43,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,4,8.2,0.05,0.0,7.57,,2,180,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,4,8.24,0.05,0.0,7.82,,2,180,36,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,4,8.82,0.05,0.0,7.53,,2,182,34,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,4,11.65,0.05,0.0,9.46,,1,100,43,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,4,10.46,0.05,0.0,9.56,21.64,1,100,36,CNN 16k,non-IID,CIFAR-10,1.27,0.4879,0.4601,1.9589,2.29,0.4154,0.3719,2.1191
Client 1,5,8.39,0.05,0.0,7.79,,2,180,43,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,5,8.37,0.05,0.0,7.71,,2,180,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,5,7.96,0.05,0.0,7.46,,2,180,36,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,5,8.46,0.05,0.0,8.01,,2,179,34,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,5,11.68,0.05,0.0,10.0,,1,100,43,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,5,11.39,0.05,0.0,10.16,22.17,1,100,36,CNN 16k,non-IID,CIFAR-10,1.24,0.5041,0.4752,1.8288,2.27,0.4235,0.3781,2.0873
Client 1,6,8.27,0.05,0.0,7.71,,2,180,43,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,6,8.21,0.05,0.0,7.66,,2,179,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,6,7.89,0.05,0.0,7.46,,2,180,36,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,6,7.76,0.05,0.0,8.42,,2,178,34,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,6,10.6,0.05,0.0,9.39,,1,100,43,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,6,11.69,0.05,0.0,10.19,22.23,1,100,36,CNN 16k,non-IID,CIFAR-10,1.22,0.5091,0.4879,1.7072,2.23,0.431,0.3911,2.05
Client 1,7,8.25,0.05,0.0,7.79,,2,179,43,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,7,8.22,0.05,0.0,7.77,,2,180,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,7,8.33,0.05,0.0,7.73,,2,179,36,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,7,7.69,0.05,0.0,7.63,,2,179,34,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,7,11.69,0.05,0.0,9.16,,1,100,43,CNN 16k,non-IID,CIFAR-10,,,,,,,,
