Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,24.16,0.0,0.0,24.26,,2,122,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,1,23.86,0.0,0.0,24.54,,2,122,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,1,25.28,0.0,0.0,23.18,,2,123,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,1,23.89,0.0,0.0,25.28,,2,122,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,1,25.86,0.0,0.0,24.30,,1,98,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,1,24.99,0.0,0.0,24.37,68.63,1,100,21,CNN 16k,IID,CIFAR-10,1.60,0.4165,0.420,2.1601,1.58,0.4190,0.415,2.1571
Client 23,2,22.80,0.0,0.0,23.48,,2,123,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,2,22.9,0.0,0.0,23.02,,2,121,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,2,24.55,0.0,0.0,24.5,,2,121,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,2,25.89,0.0,0.0,25.83,,2,119,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,2,24.46,0.0,0.0,24.73,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,2,24.50,0.0,0.0,24.3,87.22,1,101,21,CNN 16k,IID,CIFAR-10,1.49,0.4644,0.4500,2.0145,1.5,0.4547,0.454,1.985
Client 23,3,24.33,0.0,0.0,24.02,,2,123,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,3,23.64,0.0,0.0,24.85,,2,122,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,3,25.13,0.0,0.0,23.65,,2,122,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,3,23.89,0.0,0.0,25.93,,2,121,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,3,26.04,0.0,0.0,25.43,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,3,25.83,0.0,0.0,24.70,69.23,1,99,21,CNN 16k,IID,CIFAR-10,1.41,0.4765,0.4634,1.8544,1.43,0.4803,0.4718,1.9113
Client 23,4,23.60,0.0,0.0,23.69,,2,124,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,4,22.44,0.0,0.0,24.06,,2,123,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,4,22.77,0.0,0.0,23.16,,2,122,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,4,25.81,0.0,0.0,26.02,,2,124,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,4,25.01,0.0,0.0,24.65,,1,101,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,4,25.27,0.0,0.0,24.28,89.06,1,101,21,CNN 16k,IID,CIFAR-10,1.36,0.5111,0.5038,1.8142,1.39,0.4917,0.4819,1.8639
Client 23,5,24.34,0.0,0.0,24.63,,2,125,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,5,23.98,0.0,0.0,24.02,,2,123,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,5,25.01,0.0,0.0,24.12,,2,121,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,5,24.98,0.0,0.0,25.30,,2,125,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,5,26.09,0.0,0.0,24.31,,1,100,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,5,26.26,0.0,0.0,25.31,66.41,1,101,21,CNN 16k,IID,CIFAR-10,1.31,0.5262,0.5289,1.7586,1.34,0.5121,0.5090,1.8063
Client 23,6,22.76,0.0,0.0,24.39,,2,124,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,6,22.72,0.0,0.0,23.91,,2,123,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,6,24.16,0.0,0.0,24.82,,2,122,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,6,24.88,0.0,0.0,25.20,,2,121,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,6,23.11,0.0,0.0,24.56,,1,99,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,6,23.60,0.0,0.0,24.26,82.77,1,99,21,CNN 16k,IID,CIFAR-10,1.28,0.5398,0.5434,1.6903,1.32,0.5185,0.5165,1.7592
Client 23,7,23.39,0.0,0.0,23.62,,2,123,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,7,23.19,0.0,0.0,24.50,,2,122,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,7,23.8,0.0,0.0,24.33,,2,123,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,7,24.94,0.0,0.0,25.46,,2,125,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,7,24.92,0.0,0.0,23.89,,1,101,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,7,25.23,0.0,0.0,24.22,67.87,1,99,21,CNN 16k,IID,CIFAR-10,1.24,0.5438,0.5490,1.6319,1.32,0.5142,0.5112,1.7698
Client 23,8,23.38,0.0,0.0,24.30,,2,123,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 24,8,22.97,0.0,0.0,24.28,,2,123,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 25,8,23.54,0.0,0.0,24.8,,2,122,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 26,8,23.75,0.0,0.0,26.0,,2,122,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 27,8,24.94,0.0,0.0,25.12,,1,102,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 28,8,24.40,0.0,0.0,25.34,83.0,1,101,21,CNN 16k,IID,CIFAR-10,1.23,0.556,0.5452,1.6034,1.32,0.5253,0.5235,1.7527
