Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,24.19,0.0,0.0,23.27,,2,114,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,1,24.63,0.0,0.0,37.66,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,1,25.63,0.0,0.0,76.37,,2,79,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,1,24.27,0.0,0.0,37.92,,2,104,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,1,26.74,0.0,0.0,76.38,,1,72,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,1,26.06,0.0,0.0,60.14,,1,73,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,1,26.51,0.0,0.0,76.82,,1,70,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,1,25.99,0.0,0.0,44.00,,1,88,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,1,26.87,0.0,0.0,59.83,,1,81,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,1,27.37,0.0,0.0,36.78,,1,92,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 33,1,26.70,0.0,0.0,59.20,,1,78,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 34,1,26.52,0.0,0.0,39.82,166.35,1,87,21,CNN 16k,non-IID,CIFAR-10,1.16,0.579,0.326,1.473,3.02,0.2982,0.2119,2.4944
Client 23,2,25.4,0.0,0.0,35.03,,2,108,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,2,24.88,0.0,0.0,35.73,,2,110,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,2,26.7,0.0,0.0,71.86,,2,74,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,2,24.92,0.0,0.0,31.21,,2,119,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,2,26.02,0.0,0.0,69.55,,1,63,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,2,26.32,0.0,0.0,48.72,,1,74,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,2,26.11,0.0,0.0,60.1,,1,68,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,2,26.43,0.0,0.0,59.13,,1,67,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,2,26.30,0.0,0.0,38.06,,1,85,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,2,26.19,0.0,0.0,60.0,,1,69,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 33,2,26.28,0.0,0.0,73.04,,1,59,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 34,2,27.19,0.0,0.0,42.41,118.80,1,79,21,CNN 16k,non-IID,CIFAR-10,1.09,0.5984,0.3657,1.3449,2.7,0.3320,0.2629,2.3623
Client 23,3,25.23,0.0,0.0,25.94,,2,122,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,3,23.93,0.0,0.0,66.58,,2,75,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,3,25.2,0.0,0.0,35.8,,2,106,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,3,24.75,0.0,0.0,29.90,,2,115,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,3,25.8,0.0,0.0,26.1,,1,99,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,3,24.81,0.0,0.0,48.80,,1,73,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,3,25.49,0.0,0.0,66.15,,1,62,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,3,25.37,0.0,0.0,25.06,,1,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,3,25.09,0.0,0.0,57.88,,1,67,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,3,28.29,0.0,0.0,31.14,,1,94,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 33,3,28.34,0.0,0.0,64.33,,1,67,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 34,3,25.08,0.0,0.0,21.72,107.84,1,100,21,CNN 16k,non-IID,CIFAR-10,1.02,0.6261,0.4018,1.2770,2.62,0.3547,0.2898,2.319
Client 23,4,26.48,0.0,0.0,52.80,,2,87,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,4,26.3,0.0,0.0,37.42,,2,107,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,4,26.38,0.0,0.0,41.89,,2,107,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,4,23.94,0.0,0.0,49.42,,2,88,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,4,26.70,0.0,0.0,66.48,,1,62,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,4,25.56,0.0,0.0,23.16,,1,96,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,4,25.94,0.0,0.0,25.44,,1,97,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,4,25.42,0.0,0.0,70.96,,1,61,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,4,25.84,0.0,0.0,25.82,,1,94,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,4,28.24,0.0,0.0,35.36,,1,90,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 33,4,26.88,0.0,0.0,30.79,,1,90,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 34,4,25.18,0.0,0.0,25.12,113.80,1,99,21,CNN 16k,non-IID,CIFAR-10,1.0,0.6457,0.4246,1.2435,2.53,0.3662,0.2954,2.2844
Client 23,5,25.40,0.0,0.0,31.46,,2,114,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,5,25.96,0.0,0.0,76.09,,2,74,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,5,24.97,0.0,0.0,42.00,,2,102,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,5,25.85,0.0,0.0,31.03,,2,117,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,5,26.93,0.0,0.0,71.37,,1,60,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,5,27.10,0.0,0.0,31.66,,1,90,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,5,26.94,0.0,0.0,72.42,,1,63,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,5,26.62,0.0,0.0,31.97,,1,93,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,5,26.02,0.0,0.0,34.11,,1,95,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,5,27.26,0.0,0.0,28.04,,1,95,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 33,5,27.56,0.0,0.0,47.96,,1,75,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 34,5,26.92,0.0,0.0,71.78,122.81,1,63,21,CNN 16k,non-IID,CIFAR-10,0.95,0.6619,0.4506,1.1820,2.40,0.3831,0.3194,2.1941
Client 23,6,25.95,0.0,0.0,59.31,,2,82,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,6,25.88,0.0,0.0,44.06,,2,99,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,6,25.74,0.0,0.0,28.37,,2,115,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,6,24.3,0.0,0.0,55.63,,2,82,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,6,26.51,0.0,0.0,38.86,,1,83,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,6,25.17,0.0,0.0,72.78,,1,59,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,6,26.98,0.0,0.0,34.82,,1,96,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,6,26.10,0.0,0.0,65.75,,1,60,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,6,26.68,0.0,0.0,51.18,,1,76,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,6,28.27,0.0,0.0,36.68,,1,87,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 33,6,28.0,0.0,0.0,29.67,,1,97,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
