Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,23.15,0.24,0.0,21.78,,2,114,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,1,22.03,0.14,0.0,23.92,,2,114,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,1,23.46,0.12,0.0,25.1,,2,114,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,1,22.61,0.2,0.0,22.44,126.21,2,115,21,CNN 16k,non-IID,CIFAR10,1.29,0.5368,0.3147,1.5206,2.71,0.2926,0.2162,2.4842
Client 23,2,24.35,0.24,0.0,24.01,,2,124,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,2,25.71,0.14,0.0,24.87,,2,123,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,2,25.98,0.12,0.0,25.42,,2,124,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,2,24.7,0.2,0.0,23.86,,2,124,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 27,2,25.93,0.14,0.0,27.1,,1,100,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 28,2,24.5,0.23,0.0,23.95,,1,100,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 29,2,11.41,0.05,57.07,9.26,,1,100,47,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 30,2,10.45,0.05,45.07,9.16,,1,100,44,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 31,2,10.79,0.05,54.77,8.68,,1,100,46,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 32,2,10.87,0.05,46.35,9.08,,1,100,41,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 33,2,24.57,0.1,0.0,24.08,,1,100,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 34,2,25.77,0.1,0.0,24.41,84.34,1,100,21,CNN 16k,non-IID,CIFAR10,1.28,0.5222,0.3861,1.6966,2.44,0.3525,0.2934,2.3912
Client 23,3,7.97,0.05,42.67,6.92,,2,150,47,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,3,7.88,0.05,36.48,7.65,,2,149,42,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,3,8.59,0.05,33.97,7.34,,2,148,41,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,3,8.6,0.05,41.92,7.06,,2,151,46,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 27,3,10.2,0.05,42.03,8.08,,1,100,42,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 28,3,9.93,0.05,55.27,8.36,,1,100,47,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 29,3,10.74,0.05,0.0,8.87,,1,100,47,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 30,3,10.75,0.05,0.0,8.97,,1,100,44,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 31,3,10.12,0.05,0.0,8.85,,1,100,46,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 32,3,10.63,0.05,0.0,9.22,,1,100,42,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 33,3,25.74,0.1,0.0,23.98,,1,100,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 34,3,10.18,0.05,38.99,8.58,80.92,1,100,39,CNN 16k,non-IID,CIFAR10,1.38,0.4385,0.4016,2.0177,2.3,0.3976,0.3486,2.2767
Client 23,4,8.16,0.05,0.0,7.1,,2,181,47,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,4,8.19,0.05,0.0,7.21,,2,181,42,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,4,8.13,0.05,0.0,7.38,,2,181,41,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,4,8.5,0.05,0.0,7.24,,2,181,46,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 27,4,10.68,0.05,0.0,8.69,,1,100,42,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 28,4,10.86,0.05,0.0,9.08,,1,100,47,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 29,4,10.65,0.05,0.0,9.92,,1,100,47,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 30,4,11.47,0.05,0.0,10.12,,1,100,44,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 31,4,10.95,0.05,0.0,8.64,,1,100,46,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 32,4,10.84,0.05,0.0,8.82,,1,100,42,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 33,4,24.24,0.1,0.0,23.15,,1,100,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 34,4,11.1,0.05,0.0,8.63,80.61,1,100,39,CNN 16k,non-IID,CIFAR10,1.35,0.455,0.4232,1.9223,2.21,0.4193,0.3759,2.1743
Client 23,5,8.6,0.05,0.0,7.62,,2,180,47,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,5,8.25,0.05,0.0,7.96,,2,177,42,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,5,9.87,0.05,0.0,8.95,,2,178,41,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,5,9.09,0.05,0.0,7.45,,2,181,46,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 27,5,11.13,0.05,0.0,8.75,,1,100,42,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 28,5,10.91,0.05,0.0,9.06,,1,100,47,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 29,5,12.28,0.05,0.0,8.77,,1,100,47,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 30,5,10.91,0.05,0.0,9.28,,1,100,44,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 31,5,11.08,0.05,0.0,8.7,,1,100,46,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 32,5,11.61,0.05,0.0,9.2,,1,100,42,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 33,5,25.32,0.1,0.0,23.6,,1,100,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 34,5,10.98,0.05,0.0,9.0,80.74,1,100,39,CNN 16k,non-IID,CIFAR10,1.32,0.4664,0.4368,1.9825,2.23,0.4279,0.3834,2.1445
Client 23,6,9.09,0.05,0.0,7.36,,2,181,47,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,6,8.62,0.05,0.0,7.75,,2,179,42,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,6,8.89,0.05,0.0,7.75,,2,180,41,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,6,8.75,0.05,0.0,8.12,,2,179,46,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 27,6,10.85,0.05,0.0,8.85,,1,100,42,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 28,6,10.73,0.05,0.0,9.14,,1,100,47,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 29,6,11.48,0.05,0.0,8.8,,1,100,47,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 30,6,11.09,0.05,0.0,8.84,,1,100,44,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 31,6,11.83,0.05,0.0,9.48,,1,100,46,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 32,6,10.82,0.05,0.0,8.81,,1,100,42,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 33,6,24.04,0.1,0.0,23.06,,1,100,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 34,6,10.74,0.05,0.0,8.8,79.45,1,100,39,CNN 16k,non-IID,CIFAR10,1.29,0.4767,0.4532,2.0148,2.18,0.4432,0.4016,2.0851
Client 23,7,7.72,0.05,0.0,6.74,,2,180,47,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,7,8.11,0.05,0.0,7.4,,2,180,42,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,7,8.68,0.05,0.0,7.12,,2,181,41,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,7,8.3,0.05,0.0,7.09,16.15,2,181,46,CNN 16k,non-IID,CIFAR10,1.37,0.4416,0.4239,2.1224,2.14,0.4362,0.3984,2.0933
Client 23,8,8.34,0.05,0.0,7.26,,2,181,47,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,8,8.77,0.05,0.0,7.44,,2,181,42,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,8,8.77,0.05,0.0,7.43,,2,181,41,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,8,9.27,0.05,0.0,7.42,,2,182,46,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 27,8,11.22,0.05,0.0,8.85,,1,100,42,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 28,8,10.65,0.05,0.0,8.94,,1,100,47,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 29,8,11.47,0.05,0.0,8.89,,1,100,47,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 30,8,11.17,0.05,0.0,8.69,,1,100,44,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 31,8,10.93,0.05,0.0,8.73,,1,100,46,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 32,8,10.94,0.05,0.0,8.78,,1,100,42,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 33,8,24.73,0.1,0.0,25.46,,1,100,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 34,8,11.28,0.05,0.0,9.31,83.1,1,100,39,CNN 16k,non-IID,CIFAR10,1.26,0.4892,0.4631,1.8907,2.14,0.4536,0.4165,2.0227
Client 23,9,8.09,0.05,0.0,7.05,,2,179,47,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,9,8.47,0.05,0.0,7.14,,2,180,42,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,9,8.3,0.05,0.0,7.32,,2,181,41,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,9,8.99,0.05,0.0,7.27,16.88,2,181,46,CNN 16k,non-IID,CIFAR10,1.33,0.4552,0.4418,1.9878,2.09,0.4511,0.4145,2.0496
Client 23,10,9.16,0.05,0.0,7.52,,2,181,47,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,10,8.31,0.05,0.0,7.33,,2,180,42,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,10,8.71,0.05,0.0,7.45,,2,181,41,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,10,8.75,0.05,0.0,7.41,,2,181,46,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 27,10,11.73,0.05,0.0,8.97,,1,100,42,CNN 16k,non-IID,CIFAR10,,,,,,,,
