Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,24.68,0.0,0.0,57.10,,2,90,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,1,23.76,0.0,0.0,38.67,,2,101,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,1,26.24,0.0,0.0,64.48,,2,87,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,1,25.18,0.0,0.0,62.79,,2,89,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,1,27.01,0.0,0.0,70.77,,1,74,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,1,26.02,0.0,0.0,54.36,,1,82,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,1,26.59,0.0,0.0,28.68,,1,95,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,1,27.08,0.0,0.0,54.44,,1,80,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,1,27.20,0.0,0.0,73.93,,1,71,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,1,26.61,0.0,0.0,32.57,,1,99,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 33,1,26.93,0.0,0.0,65.42,,1,75,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 34,1,29.10,0.0,0.0,70.3,168.36,1,75,21,CNN 16k,non-IID,CIFAR-10,1.33,0.527,0.3457,1.7536,2.7,0.3126,0.2494,2.5930
Client 23,2,24.53,0.0,0.0,65.20,,2,78,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,2,24.37,0.0,0.0,68.04,,2,77,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,2,26.01,0.0,0.0,47.9,,2,97,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,2,26.8,0.0,0.0,62.19,,2,83,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,2,26.60,0.0,0.0,70.79,,1,60,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,2,28.10,0.0,0.0,65.70,,1,64,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,2,26.84,0.0,0.0,42.36,,1,84,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,2,26.5,0.0,0.0,71.8,,1,66,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,2,27.61,0.0,0.0,28.61,,1,99,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,2,27.21,0.0,0.0,36.94,,1,89,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 33,2,27.34,0.0,0.0,70.31,,1,62,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 34,2,26.87,0.0,0.0,49.39,113.96,1,75,21,CNN 16k,non-IID,CIFAR-10,1.22,0.557,0.3945,1.6563,2.44,0.3608,0.300,2.4107
Client 23,3,23.23,0.0,0.0,42.2,,2,96,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,3,25.24,0.0,0.0,66.7,,2,75,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,3,25.22,0.0,0.0,34.80,,2,106,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,3,27.14,0.0,0.0,64.98,,2,81,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
