Client ID,FL Round,Training Time,JSD,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,8.61,0.05,7.6,,2,138,38,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,1,9.37,0.05,8.27,,2,128,36,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,1,8.11,0.05,7.54,,2,139,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,1,9.34,0.05,8.48,,2,134,33,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,1,8.2,0.05,8.16,,2,158,43,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,1,12.26,0.05,10.7,,1,100,33,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,1,9.86,0.05,9.02,,1,100,38,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,1,13.61,0.05,9.48,,1,100,34,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,1,10.5,0.05,9.5,,1,100,38,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,1,12.69,0.05,9.16,300.19,1,100,36,CNN 16k,non-IID,CIFAR-10,1.4,0.4461,0.4114,2.0488,2.84,0.34,0.2811,2.3845
Client 23,2,10.82,0.05,9.49,,2,177,39,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,2,10.64,0.05,9.25,,2,180,36,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,2,10.89,0.05,9.85,,2,178,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,2,10.91,0.05,9.32,,2,179,33,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,2,10.68,0.05,9.82,,2,178,43,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,2,13.89,0.05,12.05,,1,100,33,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,2,13.72,0.05,11.83,,1,100,38,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,2,13.94,0.05,11.67,,1,100,34,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,2,14.05,0.05,12.07,,1,100,38,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,2,13.74,0.05,12.08,26.55,1,100,36,CNN 16k,non-IID,CIFAR-10,1.33,0.4726,0.4423,2.0409,2.52,0.3764,0.3206,2.3018
Client 23,3,9.35,0.05,8.66,,2,176,39,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,3,9.13,0.05,8.55,,2,178,36,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,3,8.95,0.05,7.94,,2,180,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,3,8.94,0.05,7.9,,2,180,33,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,3,9.29,0.05,8.46,,2,179,43,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,3,12.01,0.05,11.09,,1,100,33,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,3,11.29,0.05,11.06,,1,100,38,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,3,11.58,0.05,10.43,,1,100,34,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,3,12.13,0.05,10.12,,1,100,38,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,3,11.68,0.05,10.17,23.41,1,100,36,CNN 16k,non-IID,CIFAR-10,1.26,0.4981,0.4676,1.873,2.31,0.3991,0.345,2.1829
Client 23,4,12.32,0.05,8.67,,2,183,39,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,4,11.47,0.05,8.76,,2,184,36,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,4,11.85,0.05,9.25,,2,182,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,4,12.15,0.05,8.87,,2,183,33,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,4,11.67,0.05,9.27,,2,181,43,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,4,15.4,0.05,9.85,,1,100,33,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,4,17.99,0.05,9.6,,1,100,38,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,4,15.51,0.05,9.81,,1,100,34,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,4,15.68,0.05,9.65,,1,100,38,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,4,15.56,0.05,9.64,28.05,1,100,36,CNN 16k,non-IID,CIFAR-10,1.22,0.5119,0.4831,1.8224,2.23,0.4125,0.3627,2.1682
Client 23,5,11.81,0.05,11.33,,2,178,39,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,5,11.77,0.05,11.86,,2,177,36,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,5,10.84,0.05,9.05,,2,180,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,5,10.18,0.05,9.07,,2,180,33,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,5,10.84,0.05,9.22,,2,180,43,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,5,13.31,0.05,11.54,,1,100,33,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,5,13.49,0.05,11.8,,1,100,38,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,5,13.67,0.05,11.46,,1,100,34,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,5,13.47,0.05,11.62,,1,100,38,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,5,13.05,0.05,12.05,25.69,1,100,36,CNN 16k,non-IID,CIFAR-10,1.18,0.5281,0.5054,1.7534,2.18,0.4349,0.3883,2.0753
Client 23,6,9.37,0.05,8.83,,2,179,39,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,6,9.12,0.05,8.74,,2,179,36,CNN 16k,non-IID,CIFAR-10,,,,,,,,
