Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,24.86,0.13,0.0,25.93,,2,114,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,1,24.5,0.11,0.0,24.18,,2,114,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,1,24.41,0.16,0.0,25.67,,2,114,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,1,25.08,0.16,0.0,24.69,,2,114,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 27,1,24.97,0.14,0.0,25.11,131.49,2,114,21,CNN 16k,non-IID,CIFAR10,1.33,0.5282,0.3237,1.705,2.79,0.3055,0.2235,2.528
Client 23,2,8.64,0.05,36.43,7.83,,2,150,42,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,2,8.9,0.05,29.74,7.54,,2,148,38,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,2,9.11,0.05,39.52,7.81,,2,150,43,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,2,8.9,0.05,39.43,7.79,,2,150,43,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 27,2,8.71,0.05,35.93,7.82,57.11,2,148,40,CNN 16k,non-IID,CIFAR10,1.4,0.434,0.4075,2.1144,2.42,0.3845,0.3396,2.274
