Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,24.09,0.07,0.0,24.49,,2,114,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,1,23.76,0.25,0.0,23.83,,2,114,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,1,26.26,0.1,0.0,24.43,,2,114,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,1,22.27,0.25,0.0,22.77,,2,114,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,1,22.1,0.14,0.0,22.44,129.18,2,115,21,CNN 16k,non-IID,CIFAR-10,1.29,0.5286,0.3498,1.6889,2.87,0.3238,0.2462,2.5643
Client 1,2,24.43,0.07,0.0,24.71,,2,124,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,2,24.62,0.25,0.0,24.89,,2,124,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,2,23.41,0.1,0.0,22.95,,2,125,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,2,25.2,0.25,0.0,25.31,,2,123,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,2,24.49,0.14,0.0,24.77,,2,123,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,2,25.25,0.11,0.0,23.54,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,2,23.96,0.15,0.0,24.08,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,2,25.33,0.15,0.0,23.78,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,2,24.76,0.15,0.0,24.82,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,2,24.93,0.09,0.0,23.94,83.32,1,100,21,CNN 16k,non-IID,CIFAR-10,1.24,0.5479,0.3982,1.595,2.54,0.3623,0.2933,2.4028
Client 1,3,23.46,0.07,0.0,23.95,,2,124,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,3,26.32,0.25,0.0,23.92,,2,123,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,3,23.74,0.1,0.0,24.28,,2,124,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,3,23.38,0.25,0.0,23.9,,2,123,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,3,22.59,0.14,0.0,22.47,82.63,2,125,21,CNN 16k,non-IID,CIFAR-10,1.12,0.5946,0.4228,1.4632,2.5,0.3763,0.3033,2.3752
Client 1,4,24.76,0.07,0.0,23.95,,2,124,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,4,26.69,0.25,0.0,25.35,,2,123,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,4,23.71,0.1,0.0,23.72,,2,123,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,4,23.47,0.25,0.0,23.43,,2,123,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,4,22.77,0.14,0.0,23.02,,2,124,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,4,23.55,0.11,0.0,23.44,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,4,24.91,0.15,0.0,24.22,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,4,23.48,0.15,0.0,23.0,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,4,23.93,0.15,0.0,23.33,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,4,25.84,0.09,0.0,24.82,84.57,1,100,21,CNN 16k,non-IID,CIFAR-10,1.12,0.5963,0.4481,1.4244,2.34,0.398,0.3291,2.2131
