Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,6.56,0.0,0.0,10.52,,2,103,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,1,6.71,0.0,0.0,12.35,,2,98,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,1,6.41,0.0,0.0,5.45,,2,118,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,1,6.39,0.0,0.0,9.55,,2,105,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,1,6.55,0.0,0.0,7.34,,2,112,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,1,6.54,0.0,0.0,7.56,,1,86,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 29,1,6.76,0.0,0.0,8.49,,1,84,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 30,1,6.61,0.0,0.0,9.73,,1,82,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 31,1,6.53,0.0,0.0,12.61,,1,76,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 32,1,7.12,0.0,0.0,2.51,41.03,1,100,19,TextMLP,non-IID,AGNEWS,0.34,0.872,0.8087,0.1911,3.09,0.5861,0.5087,0.7262
Client 23,2,6.28,0.0,0.0,11.34,,2,97,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,2,5.83,0.0,0.0,12.25,,2,90,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,2,6.11,0.0,0.0,6.35,,2,132,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,2,6.34,0.0,0.0,5.8,,2,145,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,2,5.93,0.0,0.0,9.31,,2,107,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,2,6.06,0.0,0.0,10.39,,1,55,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 29,2,6.07,0.0,0.0,2.56,,1,100,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 30,2,6.32,0.0,0.0,12.47,,1,50,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 31,2,6.14,0.0,0.0,10.49,,1,55,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 32,2,6.2,0.0,0.0,6.55,19.99,1,71,19,TextMLP,non-IID,AGNEWS,0.29,0.8909,0.8433,0.165,4.39,0.6206,0.5382,0.6479
Client 23,3,5.97,0.0,0.0,5.34,,2,142,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,3,5.92,0.0,0.0,8.29,,2,114,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,3,5.85,0.0,0.0,9.26,,2,106,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,3,5.89,0.0,0.0,12.36,,2,90,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,3,5.8,0.0,0.0,12.27,,2,89,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,3,6.14,0.0,0.0,6.42,,1,71,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 29,3,6.21,0.0,0.0,6.39,,1,71,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 30,3,6.11,0.0,0.0,2.58,,1,100,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 31,3,6.32,0.0,0.0,10.57,,1,55,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 32,3,6.33,0.0,0.0,7.47,19.24,1,67,19,TextMLP,non-IID,AGNEWS,0.27,0.8982,0.8548,0.1555,5.45,0.6281,0.5447,0.6649
Client 23,4,6.04,0.0,0.0,4.31,,2,155,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,4,5.99,0.0,0.0,5.23,,2,141,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,4,6.24,0.0,0.0,12.25,,2,92,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,4,6.31,0.0,0.0,7.33,,2,124,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,4,5.85,0.0,0.0,11.26,,2,95,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,4,6.24,0.0,0.0,6.51,,1,71,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 29,4,6.04,0.0,0.0,6.5,,1,71,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 30,4,6.17,0.0,0.0,8.48,,1,63,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 31,4,6.18,0.0,0.0,3.48,,1,91,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 32,4,6.19,0.0,0.0,8.37,19.68,1,62,19,TextMLP,non-IID,AGNEWS,0.25,0.9028,0.8624,0.1497,5.34,0.6315,0.5482,0.6501
Client 23,5,11.64,0.0,0.0,7.63,,2,147,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,5,11.55,0.0,0.0,8.49,,2,141,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,5,11.42,0.0,0.0,9.11,,2,132,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,5,10.54,0.0,0.0,6.17,,2,154,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,5,11.58,0.0,0.0,8.64,,2,141,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,5,12.03,0.0,0.0,11.2,,1,68,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 29,5,12.4,0.0,0.0,9.09,,1,78,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 30,5,11.54,0.0,0.0,9.34,,1,73,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 31,5,11.16,0.0,0.0,5.27,,1,89,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 32,5,12.07,0.0,0.0,4.12,24.51,1,100,19,TextMLP,non-IID,AGNEWS,0.25,0.9067,0.8694,0.1432,5.31,0.6423,0.5565,0.6205
Client 23,6,7.24,0.0,0.0,7.41,,2,128,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,6,7.24,0.0,0.0,6.47,,2,138,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,6,6.96,0.0,0.0,2.5,,2,188,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,6,7.18,0.0,0.0,7.58,,2,129,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,6,7.42,0.0,0.0,10.51,,2,109,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,6,7.41,0.0,0.0,3.6,,1,92,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 29,6,7.67,0.0,0.0,7.62,,1,70,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 30,6,7.47,0.0,0.0,9.69,,1,62,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 31,6,7.24,0.0,0.0,3.59,,1,92,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 32,6,7.72,0.0,0.0,8.59,19.05,1,66,19,TextMLP,non-IID,AGNEWS,0.25,0.9066,0.8682,0.1434,5.33,0.635,0.5512,0.6292
Client 23,7,5.91,0.0,0.0,2.89,,2,189,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,7,6.05,0.0,0.0,3.26,,2,170,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,7,6.05,0.0,0.0,3.3,,2,170,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,7,6.08,0.0,0.0,10.39,,2,102,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,7,5.98,0.0,0.0,5.3,,2,142,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,7,6.22,0.0,0.0,10.53,,1,55,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 29,7,5.89,0.0,0.0,11.38,,1,51,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 30,7,6.16,0.0,0.0,11.52,,1,52,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 31,7,6.01,0.0,0.0,5.5,,1,76,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 32,7,6.0,0.0,0.0,7.43,18.67,1,65,19,TextMLP,non-IID,AGNEWS,0.24,0.9095,0.8734,0.1391,5.41,0.6419,0.5568,0.6101
Client 23,8,5.93,0.0,0.0,8.43,,2,115,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,8,6.34,0.0,0.0,7.33,,2,124,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,8,6.0,0.0,0.0,3.32,,2,170,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,8,5.89,0.0,0.0,8.36,,2,114,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,8,5.89,0.0,0.0,6.28,,2,131,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,8,6.1,0.0,0.0,4.43,,1,83,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 29,8,5.99,0.0,0.0,8.52,,1,61,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 30,8,7.26,0.0,0.0,5.4,,1,79,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 31,8,5.85,0.0,0.0,6.39,,1,70,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 32,8,6.06,0.0,0.0,10.39,17.58,1,55,19,TextMLP,non-IID,AGNEWS,0.24,0.9104,0.8739,0.1377,5.48,0.6383,0.554,0.6269
Client 23,9,5.71,0.0,0.0,3.25,,2,169,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,9,5.99,0.0,0.0,2.37,,2,187,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,9,7.06,0.0,0.0,6.94,,2,138,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,9,6.09,0.0,0.0,9.4,,2,108,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,9,5.96,0.0,0.0,11.25,,2,95,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,9,6.09,0.0,0.0,9.43,,1,58,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 29,9,6.78,0.0,0.0,10.44,,1,57,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 30,9,6.02,0.0,0.0,10.37,,1,54,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 31,9,5.96,0.0,0.0,11.44,,1,51,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 32,9,6.12,0.0,0.0,10.45,18.39,1,55,19,TextMLP,non-IID,AGNEWS,0.23,0.912,0.8774,0.1353,5.67,0.6466,0.5606,0.5957
Client 23,10,5.91,0.0,0.0,3.28,,2,167,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,10,5.89,0.0,0.0,12.32,,2,90,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,10,6.05,0.0,0.0,7.38,,2,123,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,10,6.35,0.0,0.0,10.47,,2,104,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,10,5.96,0.0,0.0,6.31,,2,131,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,10,6.29,0.0,0.0,12.49,,1,51,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 29,10,6.19,0.0,0.0,9.65,,1,59,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 30,10,6.27,0.0,0.0,12.48,,1,51,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 31,10,6.29,0.0,0.0,3.6,,1,91,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 32,10,6.32,0.0,0.0,4.58,20.16,1,83,19,TextMLP,non-IID,AGNEWS,0.23,0.9131,0.8781,0.1333,5.84,0.6427,0.5572,0.6167
Client 23,11,10.91,0.0,0.0,6.02,,2,153,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,11,10.13,0.0,0.0,12.03,,2,114,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,11,12.04,0.0,0.0,10.18,,2,129,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,11,11.46,0.0,0.0,6.4,,2,156,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,11,10.51,0.0,0.0,11.09,,2,120,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,11,11.03,0.0,0.0,10.16,,1,69,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 29,11,13.02,0.0,0.0,11.62,,1,69,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 30,11,12.98,0.0,0.0,12.28,,1,66,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 31,11,13.03,0.0,0.0,9.84,,1,75,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 32,11,11.38,0.0,0.0,3.25,26.36,1,100,19,TextMLP,non-IID,AGNEWS,0.23,0.9137,0.8784,0.1327,5.94,0.6389,0.5544,0.6268
Client 23,12,7.09,0.0,0.0,12.48,,2,97,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,12,6.93,0.0,0.0,7.36,,2,127,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,12,6.71,0.0,0.0,2.41,,2,187,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,12,7.04,0.0,0.0,9.46,,2,113,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,12,7.02,0.0,0.0,10.37,,2,107,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,12,7.38,0.0,0.0,4.49,,1,85,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 29,12,7.38,0.0,0.0,6.55,,1,74,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 30,12,7.25,0.0,0.0,3.69,,1,92,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 31,12,7.08,0.0,0.0,3.55,,1,92,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 32,12,7.55,0.0,0.0,3.72,20.87,1,92,19,TextMLP,non-IID,AGNEWS,0.23,0.9136,0.8794,0.1314,6.02,0.6491,0.562,0.6011
Client 23,13,6.12,0.0,0.0,2.28,,2,188,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,13,5.8,0.0,0.0,2.29,,2,188,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,13,6.6,0.0,0.0,4.4,,2,156,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,13,6.43,0.0,0.0,7.51,,2,125,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,13,5.93,0.0,0.0,12.26,,2,90,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,13,6.33,0.0,0.0,10.4,,1,55,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 29,13,6.3,0.0,0.0,6.55,,1,71,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 30,13,6.3,0.0,0.0,11.56,,1,53,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 31,13,6.03,0.0,0.0,6.56,,1,71,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 32,13,6.08,0.0,0.0,3.39,19.33,1,91,19,TextMLP,non-IID,AGNEWS,0.22,0.9163,0.8831,0.1287,6.1,0.6483,0.5618,0.6014
Client 23,14,5.85,0.0,0.0,4.3,,2,154,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,14,5.99,0.0,0.0,6.29,,2,131,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,14,5.97,0.0,0.0,10.36,,2,101,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,14,6.37,0.0,0.0,10.34,,2,103,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,14,6.21,0.0,0.0,12.5,,2,93,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,14,6.17,0.0,0.0,8.48,,1,62,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 29,14,6.04,0.0,0.0,12.52,,1,49,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 30,14,7.27,0.0,0.0,5.83,,1,80,19,TextMLP,non-IID,AGNEWS,,,,,,,,
