Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,26.17,27.27,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,1,25.97,27.09,,2,139,56,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,1,26.14,27.28,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,1,24.42,25.83,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,1,25.76,27.57,,2,138,43,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,1,26.15,28.05,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 7,1,25.65,27.26,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 8,1,26.02,26.43,,2,138,42,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 9,1,25.49,28.18,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 10,1,26.24,27.18,56.81,2,137,41,CNN 16k,IID,CIFAR-10,3210.36,0.2499,0.209,2.8302,640.72,0.2589,0.2181,2.8008
