Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,26.12,29.37,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,1,28.43,28.72,,2,136,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,1,26.29,27.91,60.17,2,137,41,CNN 16k,IID,CIFAR-10,3130.66,0.2663,0.2339,2.7321,627.3,0.2667,0.2341,2.7038
Client 1,2,26.53,27.48,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,2,27.79,28.14,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,2,26.88,27.67,55.95,2,137,41,CNN 16k,IID,CIFAR-10,2646.18,0.3794,0.3563,2.3511,530.25,0.3788,0.3545,2.3692
Client 1,3,25.88,27.7,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,3,27.34,28.39,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,3,26.49,28.64,55.8,2,137,41,CNN 16k,IID,CIFAR-10,2480.3,0.4175,0.4093,2.1249,498.34,0.416,0.407,2.146
Client 1,4,26.01,27.77,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,4,27.7,28.87,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,4,26.12,26.62,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,4,28.65,29.1,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,4,28.01,31.21,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,4,32.56,30.54,63.12,1,100,41,CNN 16k,IID,CIFAR-10,2372.07,0.4475,0.4358,2.0493,478.21,0.4391,0.4273,2.0868
Client 1,5,26.27,27.15,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,5,26.63,29.97,,2,136,41,CNN 16k,IID,CIFAR-10,,,,,,,,
