Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,24.53,27.18,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,1,24.91,24.75,,2,140,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,1,25.07,26.96,,2,138,45,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,1,23.95,27.04,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,1,24.97,25.53,98.16,2,138,41,CNN 16k,non-IID,CIFAR-10,2834.89,0.3555,0.1451,2.5636,786.1,0.1923,0.1087,3.2557
Client 1,2,24.02,26.92,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,2,23.96,25.9,,2,140,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,2,24.65,24.74,,2,139,45,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,2,24.85,26.23,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,2,24.79,25.27,51.11,2,138,41,CNN 16k,non-IID,CIFAR-10,2333.3,0.4688,0.2912,1.9931,684.56,0.303,0.2485,2.624
Client 1,3,25.1,27.41,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,3,24.71,26.29,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,3,24.79,25.73,,2,138,45,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,3,26.62,29.16,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,3,26.54,27.01,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,3,25.95,27.91,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 7,3,27.6,28.27,,1,100,46,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 8,3,25.81,27.18,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,3,27.11,27.82,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,3,27.58,27.45,55.9,1,100,41,CNN 16k,non-IID,CIFAR-10,2176.58,0.4998,0.3216,1.8973,651.91,0.3284,0.2826,2.5578
Client 1,4,25.12,26.6,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,4,24.17,27.23,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,4,25.77,27.44,,2,137,45,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,4,25.73,27.45,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,4,25.17,27.75,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,4,26.85,26.59,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 7,4,27.15,28.28,,1,100,46,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 8,4,27.01,27.29,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,4,27.47,28.2,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
