Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,31.87,32.26,,2,134,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,1,31.81,37.23,,2,132,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,1,32.53,32.48,,2,133,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,1,33.12,33.73,,2,133,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,1,31.12,32.9,,2,134,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,1,33.47,34.74,,1,100,52,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,1,32.14,40.09,,1,100,50,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,1,37.27,32.73,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,1,36.8,38.93,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,1,33.08,36.06,130.3,1,100,45,CNN 16k,non-IID,CIFAR-10,2592.1,0.4015,0.1712,2.3082,833.14,0.2091,0.1219,2.8671
Client 1,2,34.28,31.59,,2,134,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,2,35.25,31.62,,2,133,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,2,33.91,31.41,,2,133,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,2,28.94,29.48,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,2,34.81,30.47,,2,134,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,2,34.38,38.78,,1,100,52,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,2,39.11,33.25,,1,100,50,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,2,32.67,32.45,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,2,33.71,34.05,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,2,31.65,32.35,73.24,1,100,45,CNN 16k,non-IID,CIFAR-10,2210.14,0.4996,0.2806,1.9036,740.31,0.292,0.224,2.5751
Client 1,3,34.08,34.78,,2,132,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,3,34.95,32.95,,2,133,40,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,3,37.3,34.09,,2,131,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,3,32.35,33.86,,2,133,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,3,33.41,34.26,,2,132,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,3,33.07,32.46,,1,100,52,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,3,34.53,32.21,,1,100,50,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,3,35.96,36.87,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,3,36.49,32.57,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,3,33.21,33.57,72.9,1,100,45,CNN 16k,non-IID,CIFAR-10,2036.84,0.5382,0.3154,1.7631,694.65,0.3228,0.2548,2.4695
Client 1,4,28.69,33.53,,2,134,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,4,30.37,32.3,,2,134,40,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,4,33.13,31.73,,2,134,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,4,28.92,33.41,,2,134,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,4,29.69,32.03,,2,134,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,4,40.58,36.25,,1,100,52,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,4,32.35,35.06,,1,100,50,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,4,34.93,33.26,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,4,34.85,34.5,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,4,35.39,33.38,76.9,1,100,45,CNN 16k,non-IID,CIFAR-10,1940.47,0.5604,0.3489,1.6633,665.56,0.3484,0.2876,2.3557
Client 1,5,29.95,29.96,,2,136,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,5,32.21,33.4,,2,134,40,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,5,30.74,32.0,,2,134,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,5,30.53,31.13,,2,134,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,5,31.9,31.88,,2,134,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,5,33.82,35.24,,1,100,49,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,5,36.46,33.27,,1,100,50,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,5,36.35,32.92,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,5,33.72,34.34,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,5,35.25,35.78,71.05,1,100,45,CNN 16k,non-IID,CIFAR-10,1844.16,0.5823,0.3787,1.581,645.33,0.3701,0.3156,2.2745
Client 1,6,29.11,32.06,,2,135,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,6,31.56,31.88,,2,134,40,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,6,30.6,32.71,,2,134,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,6,30.3,30.37,,2,135,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,6,31.09,30.59,,2,135,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,6,35.94,33.47,,1,100,49,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,6,31.58,30.94,,1,100,50,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,6,34.29,31.31,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,6,32.58,30.19,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,6,41.14,31.61,72.77,1,100,45,CNN 16k,non-IID,CIFAR-10,1790.86,0.5932,0.4002,1.5274,632.51,0.3865,0.338,2.2079
Client 1,7,29.89,29.49,,2,136,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,7,30.37,30.14,,2,135,42,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,7,29.99,29.15,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,7,29.45,29.34,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,7,29.48,29.37,,2,135,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,7,32.68,31.8,,1,100,49,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,7,30.99,32.67,,1,100,50,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,7,32.2,31.71,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,7,32.5,30.24,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,7,32.07,30.66,64.5,1,100,45,CNN 16k,non-IID,CIFAR-10,1735.75,0.6078,0.4208,1.4746,615.91,0.4005,0.3542,2.1508
Client 1,8,27.02,28.74,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,8,28.4,28.51,,2,137,42,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,8,27.4,28.21,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,8,26.44,27.61,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,8,27.34,27.42,,2,137,43,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,8,30.47,29.61,,1,100,49,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,8,30.43,29.45,,1,100,50,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,8,29.47,28.78,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,8,27.87,29.02,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,8,29.55,28.96,60.1,1,100,45,CNN 16k,non-IID,CIFAR-10,1685.75,0.6191,0.4301,1.4208,604.83,0.4099,0.3627,2.1282
Client 1,9,26.91,27.23,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,9,28.3,27.45,,2,137,42,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,9,26.37,26.98,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,9,26.71,26.02,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,9,27.48,27.52,,2,136,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,9,28.4,27.79,,1,100,49,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,9,27.05,28.37,,1,100,50,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,9,27.23,28.55,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,9,28.16,28.21,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,9,28.03,28.95,57.0,1,100,45,CNN 16k,non-IID,CIFAR-10,1649.67,0.6288,0.4479,1.377,596.07,0.4224,0.3786,2.0731
Client 1,10,26.6,27.31,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,10,26.89,28.95,,2,137,42,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,10,27.05,28.58,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,10,25.22,26.18,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,10,26.58,28.15,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,10,28.29,28.53,,1,100,49,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,10,28.13,28.9,,1,100,50,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,10,27.24,28.3,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,10,28.27,29.27,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,10,27.41,28.71,57.56,1,100,45,CNN 16k,non-IID,CIFAR-10,1621.66,0.635,0.4606,1.3437,573.86,0.4318,0.3911,2.0234
Client 1,11,26.09,29.05,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,11,26.52,28.14,,2,137,42,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,11,26.76,28.5,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,11,25.18,27.35,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,11,25.42,27.42,,2,138,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,11,27.93,28.93,,1,100,49,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,11,27.23,28.57,,1,100,50,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,11,28.13,29.39,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,11,26.67,27.34,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,11,28.91,28.73,57.66,1,100,45,CNN 16k,non-IID,CIFAR-10,1604.96,0.6382,0.4662,1.3293,576.8,0.4358,0.3944,2.0208
Client 1,12,27.49,33.13,,2,135,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,12,26.71,30.02,,2,136,42,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,12,28.7,29.89,,2,135,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,12,25.68,30.49,,2,135,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,12,26.9,31.41,,2,135,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,12,29.92,31.33,,1,100,49,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,12,28.47,31.04,,1,100,50,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,12,30.28,32.57,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,12,27.91,32.9,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,12,33.97,34.65,68.65,1,100,45,CNN 16k,non-IID,CIFAR-10,1575.1,0.6439,0.4734,1.3287,575.57,0.4417,0.4017,2.0129
Client 1,13,31.66,33.54,,2,133,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,13,34.0,31.96,,2,133,42,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,13,30.48,34.3,,2,133,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,13,29.99,33.44,,2,133,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,13,35.21,30.24,,2,133,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,13,34.35,32.62,,1,100,49,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,13,32.72,34.09,,1,100,50,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,13,33.17,31.73,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,13,33.34,34.23,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,13,35.93,35.42,71.37,1,100,45,CNN 16k,non-IID,CIFAR-10,1547.22,0.6514,0.48,1.2871,582.06,0.4416,0.4051,1.9998
Client 1,14,29.41,32.84,,2,134,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,14,30.74,32.42,,2,134,40,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,14,30.78,32.17,,2,134,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,14,29.3,33.0,,2,134,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,14,32.76,33.5,,2,132,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,14,32.72,35.86,,1,100,49,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,14,34.29,32.26,,1,100,50,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,14,35.98,32.99,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,14,37.23,33.41,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,14,36.78,34.09,70.88,1,100,45,CNN 16k,non-IID,CIFAR-10,1528.24,0.6549,0.4861,1.2733,580.4,0.4446,0.4065,1.9964
Client 1,15,31.76,31.41,,2,135,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,15,37.25,33.08,,2,132,40,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,15,30.65,30.67,,2,135,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,15,30.76,30.48,,2,134,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,15,31.47,31.14,,2,134,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,15,35.28,36.69,,1,100,49,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,15,32.84,33.18,,1,100,50,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,15,32.44,32.36,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,15,38.14,36.88,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,15,37.11,34.02,75.05,1,100,45,CNN 16k,non-IID,CIFAR-10,1502.37,0.6611,0.4961,1.2337,566.1,0.4521,0.4176,1.9387
Client 1,16,32.64,32.97,,2,133,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,16,35.72,34.13,,2,132,40,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,16,32.89,33.76,,2,133,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,16,30.47,30.93,,2,135,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,16,32.39,29.41,,2,135,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,16,32.53,33.11,,1,100,50,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,16,35.17,37.36,,1,100,50,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,16,31.4,33.59,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,16,31.03,30.85,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,16,33.62,33.41,72.55,1,100,45,CNN 16k,non-IID,CIFAR-10,1487.08,0.6653,0.504,1.2278,561.1,0.4609,0.4265,1.9154
Client 1,17,31.67,34.41,,2,133,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,17,33.95,33.63,,2,133,40,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,17,32.78,35.73,,2,132,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,17,30.36,31.11,,2,134,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,17,31.23,33.4,,2,134,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,17,34.26,34.57,,1,100,50,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,17,30.86,34.16,,1,100,50,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,17,31.24,32.74,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,17,35.37,32.25,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,17,39.44,32.69,72.15,1,100,45,CNN 16k,non-IID,CIFAR-10,1488.43,0.6634,0.5051,1.2257,569.42,0.4598,0.4241,1.9187
Client 1,18,32.27,31.09,,2,134,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,18,32.53,34.41,,2,133,43,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,18,30.62,30.74,,2,135,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,18,30.04,33.02,,2,134,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,18,31.84,30.7,,2,134,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,18,35.41,33.19,,1,100,50,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,18,35.96,33.42,,1,100,50,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,18,39.41,32.65,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,18,32.83,32.55,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,18,36.57,32.89,72.08,1,100,45,CNN 16k,non-IID,CIFAR-10,1462.77,0.6721,0.5109,1.1879,565.52,0.4623,0.4301,1.8759
Client 1,19,33.85,34.28,,2,132,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,19,31.27,31.24,,2,134,40,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,19,36.17,31.81,,2,133,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,19,31.97,33.44,,2,133,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,19,31.63,31.74,,2,134,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,19,34.74,32.46,,1,100,50,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,19,35.13,33.88,,1,100,50,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,19,32.86,40.58,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,19,31.8,30.97,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,19,34.48,33.77,73.46,1,100,45,CNN 16k,non-IID,CIFAR-10,1431.03,0.6785,0.5187,1.1803,559.48,0.4644,0.4304,1.9154
