Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,22.5,0.0,0.0,21.87,,2,114,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,1,21.9,0.0,0.0,22.38,,2,114,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,1,23.37,0.0,0.0,23.09,,2,112,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,1,22.00,0.0,0.0,22.62,,2,113,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,1,27.99,0.0,0.0,23.98,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,1,25.13,0.0,0.0,24.54,112.06,1,100,21,CNN 16k,non-IID,CIFAR-10,1.27,0.5379,0.3317,1.7553,2.88,0.307,0.2276,2.6432
Client 1,2,22.2,0.15,0.0,21.84,,2,123,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,2,22.62,0.21,0.0,21.80,,2,122,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,2,23.15,0.13,0.0,23.98,,2,121,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,2,23.30,0.13,0.0,23.26,,2,122,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,2,25.08,0.13,0.0,24.28,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,2,27.84,0.24,0.0,25.07,86.2,1,100,21,CNN 16k,non-IID,CIFAR-10,1.16,0.5753,0.3788,1.5915,2.58,0.3448,0.2695,2.5133
Client 1,3,22.17,0.15,0.0,21.80,,2,123,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,3,22.81,0.21,0.0,24.70,,2,122,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,3,23.49,0.13,0.0,22.99,,2,122,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,3,22.54,0.13,0.0,22.66,,2,122,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,3,24.5,0.13,0.0,24.87,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,3,25.2,0.24,0.0,23.6,79.2,1,100,21,CNN 16k,non-IID,CIFAR-10,1.09,0.6009,0.4203,1.4926,2.39,0.3736,0.3069,2.3582
