Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,24.29,0.22,0.0,24.95,,2,114,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,1,24.54,0.11,0.0,25.63,,2,113,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,1,24.08,0.1,0.0,25.24,,2,114,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,1,23.8,0.18,0.0,23.79,,2,114,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,1,25.46,0.14,0.0,25.34,,2,114,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,1,24.72,0.1,0.0,24.91,,2,113,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,1,23.71,0.11,0.0,25.46,,2,113,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,1,24.74,0.08,0.0,25.15,,2,114,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,1,26.05,0.13,0.0,26.45,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,1,27.2,0.18,0.0,27.11,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 11,1,26.91,0.11,0.0,25.9,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 12,1,26.37,0.17,0.0,26.54,138.78,1,100,21,CNN 16k,non-IID,CIFAR-10,1.31,0.5373,0.3589,1.6502,2.84,0.3317,0.2604,2.5626
Client 1,2,7.78,0.05,118.76,7.38,,2,177,44,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,2,8.82,0.05,102.18,8.05,,2,177,38,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,2,9.44,0.05,84.82,8.11,,2,174,38,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,2,9.81,0.05,60.52,9.03,,2,163,42,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,2,7.66,0.05,116.28,7.19,,2,178,40,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,2,8.31,0.05,118.55,7.34,,2,181,36,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,2,9.0,0.05,59.48,8.16,,2,165,36,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,2,10.53,0.05,31.36,8.76,,2,152,33,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,2,12.03,0.05,79.33,9.79,,1,100,37,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,2,9.9,0.05,193.27,9.31,,1,100,45,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 11,2,12.71,0.05,58.71,10.72,,1,100,36,CNN 16k,non-IID,CIFAR-10,,,,,,,,
