Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,24.3,0.0,0.0,25.6,,2,123,21,CNN 16k,IID,CIFAR10,,,,,,,,
Client 2,1,24.56,0.0,0.0,25.15,,2,123,21,CNN 16k,IID,CIFAR10,,,,,,,,
Client 3,1,24.46,0.0,0.0,24.36,,2,123,21,CNN 16k,IID,CIFAR10,,,,,,,,
Client 4,1,25.08,0.0,0.0,25.85,,2,123,21,CNN 16k,IID,CIFAR10,,,,,,,,
Client 5,1,25.71,0.0,0.0,23.86,,2,123,21,CNN 16k,IID,CIFAR10,,,,,,,,
Client 6,1,24.55,0.0,0.0,23.56,,2,123,21,CNN 16k,IID,CIFAR10,,,,,,,,
Client 7,1,24.87,0.0,0.0,24.66,,2,123,21,CNN 16k,IID,CIFAR10,,,,,,,,
Client 8,1,24.48,0.0,0.0,25.56,,2,123,21,CNN 16k,IID,CIFAR10,,,,,,,,
Client 9,1,25.29,0.0,0.0,24.07,,1,100,21,CNN 16k,IID,CIFAR10,,,,,,,,
Client 10,1,28.85,0.0,0.0,25.77,,1,100,21,CNN 16k,IID,CIFAR10,,,,,,,,
Client 11,1,25.06,0.0,0.0,24.29,,1,100,21,CNN 16k,IID,CIFAR10,,,,,,,,
Client 12,1,26.74,0.0,0.0,25.47,75.93,1,100,21,CNN 16k,IID,CIFAR10,1.61,0.413,0.3965,2.1897,1.62,0.4096,0.3919,2.2128
Client 1,2,25.13,0.0,0.0,24.32,,2,124,21,CNN 16k,IID,CIFAR10,,,,,,,,
Client 2,2,25.35,0.0,0.0,24.18,,2,124,21,CNN 16k,IID,CIFAR10,,,,,,,,
Client 3,2,24.19,0.0,0.0,23.93,,2,124,21,CNN 16k,IID,CIFAR10,,,,,,,,
Client 4,2,24.76,0.0,0.0,24.84,,2,124,21,CNN 16k,IID,CIFAR10,,,,,,,,
Client 5,2,25.59,0.0,0.0,25.63,,2,123,21,CNN 16k,IID,CIFAR10,,,,,,,,
Client 6,2,26.12,0.0,0.0,26.75,,2,123,21,CNN 16k,IID,CIFAR10,,,,,,,,
Client 7,2,26.15,0.0,0.0,26.99,,2,123,21,CNN 16k,IID,CIFAR10,,,,,,,,
Client 8,2,25.39,0.0,0.0,24.6,,2,123,21,CNN 16k,IID,CIFAR10,,,,,,,,
Client 9,2,25.99,0.0,0.0,24.8,,1,100,21,CNN 16k,IID,CIFAR10,,,,,,,,
Client 10,2,26.2,0.0,0.0,26.15,,1,100,21,CNN 16k,IID,CIFAR10,,,,,,,,
Client 11,2,26.27,0.0,0.0,24.94,,1,100,21,CNN 16k,IID,CIFAR10,,,,,,,,
Client 12,2,27.33,0.0,0.0,24.69,71.01,1,100,21,CNN 16k,IID,CIFAR10,1.48,0.4632,0.4537,1.9951,1.5,0.4566,0.4462,2.0496
