Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,6.37,0.0,0.0,2.29,,2,132,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 24,1,6.43,0.0,0.0,2.33,,2,132,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 25,1,6.6,0.0,0.0,2.35,,2,133,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 26,1,6.25,0.0,0.0,2.3,,2,131,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 27,1,6.17,0.0,0.0,2.25,,2,132,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 28,1,6.36,0.0,0.0,2.74,,2,133,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 29,1,7.14,0.0,0.0,2.4,,2,135,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 30,1,6.08,0.0,0.0,2.26,,2,132,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 31,1,6.25,0.0,0.0,2.57,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 32,1,6.59,0.0,0.0,2.49,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 33,1,6.84,0.0,0.0,2.5,,1,100,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 34,1,6.63,0.0,0.0,2.43,27.92,1,100,19,TextMLP,IID,AGNEWS,0.63,0.7685,0.7674,0.374,0.64,0.7585,0.7572,0.3862
